Delay_from_due_date,Num_of_Delayed_Payment,Num_Credit_Inquiries,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Amount_invested_monthly,Monthly_Balance,Credit_Score,Credit_Mix,Payment_Behaviour,Age,Annual_Income,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Monthly_Inhand_Salary,Changed_Credit_Limit,Outstanding_Debt,Total_EMI_per_month
56.0,16.0,11.0,35.598216904582245,120.0,Yes,229.09347845879017,252.385965162152,1,Bad,High_spent_Medium_value_payments,15.0,36597.56,8.0,10.0,29.0,5.0,3143.796666666666,22.49,2963.18,122.9002230457245
49.0,23.0,12.0,25.553106235336987,120.0,Yes,104.6139063700812,219.10594411847111,1,Bad,High_spent_Small_value_payments,28.0,32057.3,9.0,8.0,16.0,7.0,2606.4416666666666,1.4,1327.26,164.8594261855369
34.0,20.0,6.0,40.03995386123817,174.0,Yes,338.62696496896194,251.2655890477716,1,Bad,Low_spent_Large_value_payments,46.0,75868.8,6.0,10.0,32.0,7.0,6074.4000000000015,3.6,1432.71,297.54744598326647
21.0,13.0,8.0,25.711677994071177,143.0,NM,116.81686376501504,259.9279600517466,2,Standard,High_spent_Small_value_payments,46.0,17092.69,7.0,3.0,19.0,7.0,1695.3908333333331,16.4,1417.06,62.79425951657174
19.0,13.0,6.0,39.14046309253182,138.0,Yes,87.26288726108213,626.2123297288065,1,Bad,High_spent_Medium_value_payments,45.0,81471.96,6.0,6.0,25.0,5.0,6763.330000000001,27.09,2679.69,202.85778301011132
27.0,14.0,4.0,25.565468745970875,246.0,NM,214.2535906710789,293.1211862022085,1,Standard,High_spent_Large_value_payments,42.0,29062.92,6.0,3.0,8.0,1.0,2318.91,13.94,50.19,14.516223126712546
53.0,18.0,10.0,37.38021745822892,194.0,Yes,327.5731300779761,315.7792769272723,1,Bad,Low_spent_Medium_value_payments,15.0,66886.28,6.0,9.0,17.0,4.0,5723.856666666668,16.43,2661.64,209.03325966141816
9.0,19.0,5.0,31.224245372785035,247.0,No,91.73859912819292,274.5589593859615,2,Standard,Low_spent_Medium_value_payments,42.0,10027.07,8.0,5.0,9.0,3.0,896.5891666666665,1.77,168.72,13.36135815251226
26.0,17.0,9.0,31.591307403593937,79.0,Yes,12.524020978400154,293.1369738123481,1,Bad,High_spent_Medium_value_payments,38.0,19631.51,6.0,8.0,24.0,7.0,1790.9591666666663,8.69,1641.08,113.4349218759184
18.0,20.0,9.0,37.56942096106239,165.0,NM,41.33768237453518,299.07347540067013,1,Bad,Low_spent_Medium_value_payments,35.0,15815.22,6.0,10.0,19.0,5.0,1241.935,7.89,2344.37,63.78234222479476
