ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,STATUS
5010092,F,N,N,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-10304,-1682,1,0,0,0,Laborers,2.0,0
5116701,M,N,Y,1,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-10189,-1189,1,1,1,0,,3.0,0
5069290,F,N,Y,0,270000.0,Commercial associate,Incomplete higher,Married,House / apartment,-14783,-3397,1,0,0,0,Core staff,2.0,0
5113315,F,Y,Y,0,153000.0,Working,Secondary / secondary special,Married,House / apartment,-19503,-10147,1,0,0,1,High skill tech staff,2.0,0
5148853,M,Y,Y,0,261000.0,Working,Secondary / secondary special,Married,House / apartment,-15708,-5250,1,0,0,0,Laborers,2.0,0
5010383,F,Y,Y,0,270000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23768,365243,1,0,0,0,,2.0,0
5028580,M,N,N,0,540000.0,Commercial associate,Higher education,Married,House / apartment,-19996,-691,1,0,0,0,Managers,2.0,1
5095216,F,N,Y,0,135000.0,Working,Secondary / secondary special,Widow,House / apartment,-19730,-4934,1,0,0,0,Sales staff,1.0,0
5090171,F,N,Y,0,315000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-19465,365243,1,0,0,0,,2.0,0
5067060,F,Y,Y,2,450000.0,Working,Secondary / secondary special,Married,House / apartment,-14874,-4693,1,0,0,0,Core staff,4.0,0
5113078,M,Y,Y,1,360000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-14949,-7522,1,1,1,0,Drivers,2.0,0
5145866,F,N,N,1,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14122,-796,1,0,0,0,Laborers,3.0,0
5145694,M,Y,Y,0,225000.0,Working,Higher education,Single / not married,With parents,-9444,-663,1,1,1,0,,1.0,0
5061631,F,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-22286,365243,1,0,0,0,,1.0,0
5062092,M,Y,N,0,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-10171,-1812,1,1,1,0,High skill tech staff,1.0,0
5056021,F,N,Y,1,90000.0,Working,Higher education,Married,House / apartment,-13546,-3373,1,0,0,0,Cleaning staff,3.0,0
5142842,M,N,N,0,180000.0,Commercial associate,Incomplete higher,Married,House / apartment,-11223,-2326,1,0,0,0,,2.0,0
5065498,F,Y,Y,0,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18458,-6014,1,0,1,0,Accountants,2.0,0
5010298,F,N,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14918,-1866,1,0,0,0,Sales staff,2.0,0
5100117,M,Y,Y,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-15628,365243,1,0,0,1,,2.0,0
5054754,F,N,Y,0,45000.0,State servant,Secondary / secondary special,Married,House / apartment,-20200,-9404,1,1,0,0,Cleaning staff,2.0,0
5061740,F,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-23929,365243,1,0,1,0,,1.0,0
5087533,M,N,Y,0,81000.0,Commercial associate,Higher education,Single / not married,House / apartment,-9874,-1928,1,0,1,0,Laborers,1.0,0
5067171,F,N,N,0,122400.0,Working,Secondary / secondary special,Married,House / apartment,-20952,-1155,1,1,0,1,Medicine staff,2.0,0
5068711,F,Y,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,-13483,-5345,1,0,0,0,Laborers,2.0,0
5065346,F,N,Y,0,157500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22481,365243,1,0,1,0,,2.0,0
5061152,M,Y,Y,3,202500.0,Working,Secondary / secondary special,Married,House / apartment,-13300,-3668,1,0,1,0,,5.0,0
5046429,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-10911,-535,1,0,0,0,Laborers,2.0,0
5061172,M,Y,Y,3,202500.0,Working,Secondary / secondary special,Married,House / apartment,-13300,-3668,1,0,1,0,,5.0,0
5150029,M,Y,Y,1,180000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-14450,-3243,1,0,0,0,,3.0,0
5065592,F,Y,N,1,90000.0,State servant,Secondary / secondary special,Married,Municipal apartment,-13891,-7080,1,1,1,0,Medicine staff,3.0,0
5149338,F,Y,Y,0,292500.0,Commercial associate,Higher education,Single / not married,House / apartment,-16930,-8995,1,0,0,0,High skill tech staff,1.0,0
5045631,F,N,Y,1,270000.0,State servant,Secondary / secondary special,Married,House / apartment,-14400,-2512,1,0,0,0,Medicine staff,3.0,0
5066742,F,N,Y,0,112500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-18929,-1376,1,0,0,0,Sales staff,1.0,0
5143102,F,N,N,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-9865,-196,1,1,0,0,Laborers,2.0,0
5088208,F,N,Y,0,153000.0,Pensioner,Secondary / secondary special,Separated,House / apartment,-21778,365243,1,0,1,0,,1.0,0
