Delay_from_due_date,Num_of_Delayed_Payment,Num_Credit_Inquiries,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Amount_invested_monthly,Monthly_Balance,Credit_Mix,Payment_Behaviour,Age,Annual_Income,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Monthly_Inhand_Salary,Changed_Credit_Limit,Outstanding_Debt,Total_EMI_per_month,Credit_Score
26.0,10.0,5.0,30.358904511895453,200.0,NM,192.34179987985112,321.4315028883823,Good,Low_spent_Small_value_payments,27.0,36963.89,0.0,4.0,1.0,2.0,2902.3241666666668,6.47,1195.96,46.45911389843329,Standard
6.0,17.0,4.0,24.589795663146862,70.0,Yes,53.11023931314504,427.4047380706775,Standard,High_spent_Medium_value_payments,21.0,34599.8,8.0,4.0,16.0,3.0,3130.316666666667,16.53,851.37,82.51668928284417,Standard
29.0,16.0,6.0,39.456866237879225,14.0,Yes,150.8294909810989,239.0399850414416,Bad,Low_spent_Small_value_payments,14.0,19531.18,7.0,10.0,25.0,5.0,1679.5983333333334,20.74,3047.42,68.0903573107929,Poor
14.0,6.0,2.0,28.36873111353188,245.0,NM,76.72109067732146,948.7354993360864,Good,High_spent_Large_value_payments,18.0,107774.28,1.0,7.0,10.0,2.0,9142.19,2.78,937.74,128.76240998659216,Standard
9.0,10.0,4.0,25.099529114919285,220.0,No,44.380050079818325,446.72614679202735,Good,High_spent_Medium_value_payments,32.0,42326.99,0.0,2.0,4.0,4.0,3577.249166666666,5.97,1233.0,116.61871979482096,Good
26.0,9.0,3.0,38.9662254155548,214.0,Yes,478.134332893416,338.73648456960126,Standard,Low_spent_Small_value_payments,29.0,69362.92,6.0,6.0,9.0,2.0,5944.243333333333,11.41,1042.95,67.55351587031603,Standard
9.0,12.0,7.0,27.334695057052283,271.0,No,456.41413562306815,648.0341727042645,Good,High_spent_Large_value_payments,26.0,131282.91,4.0,3.0,1.0,4.0,10873.2425,8.31,929.64,262.87594167266747,Standard
37.0,23.0,9.0,35.69990939238204,132.0,Yes,98.3245373639948,217.3676972429322,Bad,Low_spent_Small_value_payments,15.0,19357.89,8.0,10.0,15.0,6.0,1364.1575,21.46,4064.81,90.72351539307294,Poor
19.0,17.0,8.0,29.40701236735795,155.0,Yes,45.01744241862115,280.151389413973,Standard,Low_spent_Small_value_payments,40.0,7901.055,8.0,7.0,14.0,5.0,797.42125,17.41,2154.6,24.573293167405843,Standard
33.0,15.0,4.0,28.63968875645637,288.0,No,69.44017401531443,336.7124940705778,Good,Low_spent_Small_value_payments,49.0,26440.13,5.0,6.0,12.0,4.0,2173.3441666666668,6.79,68.29,61.18174858077448,Good
28.0,10.0,4.0,35.11718767796339,139.0,Yes,232.1280718711227,267.0902329282516,Standard,Low_spent_Small_value_payments,26.0,30815.44,5.0,5.0,9.0,3.0,2753.953333333333,19.14,1413.42,56.177028533959046,Standard
1.0,8.0,5.0,29.516757844919177,227.0,No,282.6435734254667,813.8191907797177,Good,High_spent_Large_value_payments,18.0,132753.52,5.0,4.0,6.0,3.0,10853.793333333331,10.78,1452.83,268.9165691281488,Standard
19.0,9.0,6.0,30.67824968045808,102.0,Yes,50.48268527371524,479.146575871672,Standard,High_spent_Small_value_payments,36.0,59658.09,8.0,6.0,8.0,5.0,5250.5075,10.6,2034.67,235.4214888546128,Standard
4.0,8.0,6.0,41.770112169625456,206.0,No,320.0541317814041,1022.7368432457348,Good,High_spent_Large_value_payments,23.0,176696.88,5.0,7.0,12.0,4.0,14648.74,4.01,433.68,301.8437569951663,Good
13.0,12.0,8.0,32.74153148658421,190.0,Yes,629.0312225556883,294.1804453123977,Standard,High_spent_Large_value_payments,34.0,99425.4,8.0,5.0,13.0,4.0,8157.450000000002,10.6,892.49,172.53333213191414,Standard
4.0,18.0,4.0,22.81528891118733,265.0,Yes,46.41085201606421,369.1760646506025,Standard,High_spent_Medium_value_payments,45.0,22006.43,8.0,3.0,19.0,0.0,1655.8691666666666,9.21,1269.66,0.0,Poor
12.0,6.0,1.0,27.988332454607765,245.0,No,443.1864810976069,859.9703689615668,Good,High_spent_Small_value_payments,29.0,147499.6,2.0,2.0,12.0,2.0,12353.633333333331,4.21,1250.67,192.2064832741598,Good
1.0,4.0,4.0,32.50752883332466,199.0,No,48.32940246476191,467.27791538555886,Good,High_spent_Medium_value_payments,37.0,35862.37,4.0,2.0,7.0,2.0,3172.5308333333337,0.74,546.87,51.64576548301262,Good
