Price,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags
13956,603,LEXUS,RX 450,2015,Jeep,Yes,Hybrid,3.5,143619 km,6.0,Automatic,4x4,04-May,Left wheel,Black,12
26108,640,SSANGYONG,REXTON,2013,Jeep,Yes,Diesel,2,111307 km,4.0,Automatic,Front,04-May,Left wheel,White,4
549,1493,MERCEDES-BENZ,GLE 350,2016,Jeep,Yes,Petrol,3.5,91493 km,6.0,Automatic,Rear,04-May,Left wheel,Black,0
14113,475,FIAT,500,2012,Sedan,Yes,Petrol,1.4,88000 km,4.0,Tiptronic,Front,02-Mar,Left wheel,Black,6
21739,639,CHEVROLET,Orlando,2014,Jeep,Yes,Diesel,2,177103 km,4.0,Automatic,Front,04-May,Left wheel,White,4
19444,-,FORD,Transit,2008,Microbus,No,Diesel,2.4 Turbo,214000 km,4.0,Manual,Rear,04-May,Left wheel,Orange,2
19200,-,JAGUAR,XJ,1999,Sedan,Yes,Petrol,4,1000 km,8.0,Tiptronic,4x4,04-May,Left wheel,Green,7
51746,891,BMW,330,2016,Sedan,Yes,Petrol,2.0 Turbo,51000 km,4.0,Tiptronic,Rear,04-May,Left wheel,Blue,10
1411,640,SUZUKI,SX4,2013,Sedan,Yes,Petrol,2,193504 km,4.0,Automatic,Front,04-May,Left wheel,Red,0
11676,761,CHEVROLET,Lacetti,2010,Sedan,Yes,Petrol,1.8,153966 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
11604,761,TOYOTA,Prius,2010,Hatchback,Yes,Hybrid,1.8,155126 km,4.0,Automatic,Front,04-May,Left wheel,Golden,8
17844,502,TOYOTA,Aqua,2013,Hatchback,Yes,Petrol,1.5,88300 km,4.0,Automatic,Front,04-May,Left wheel,Red,4
17876,1292,LAND ROVER,Range Rover,2016,Jeep,Yes,Diesel,3,84110 km,6.0,Automatic,4x4,04-May,Left wheel,Black,12
21953,730,FORD,Escape,2016,Jeep,Yes,Petrol,1.6,94400 km,4.0,Automatic,4x4,04-May,Left wheel,White,0
7840,-,HONDA,FIT,2005,Hatchback,No,Petrol,1.3,126000 km,4.0,Variator,Front,04-May,Right-hand drive,Silver,4
37476,891,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2,24526 km,4.0,Automatic,Front,04-May,Left wheel,White,4
