airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
Vistara,UK-776,Kolkata,Evening,one,Late_Night,Delhi,Economy,6.58,31,7056
Vistara,UK-852,Bangalore,Morning,zero,Morning,Mumbai,Business,1.92,37,20760
Indigo,6E-2348,Delhi,Evening,one,Late_Night,Bangalore,Economy,5.58,25,3671
Air_India,AI-763,Kolkata,Early_Morning,one,Evening,Chennai,Business,12.0,15,55983
Indigo,6E-752,Hyderabad,Early_Morning,one,Evening,Chennai,Economy,9.5,20,5220
Indigo,6E-7403,Delhi,Early_Morning,one,Afternoon,Chennai,Economy,5.0,36,5378
AirAsia,I5-798,Delhi,Afternoon,one,Night,Bangalore,Economy,10.58,27,3569
Air_India,AI-840,Hyderabad,Night,one,Evening,Kolkata,Economy,22.33,5,12958
AirAsia,I5-829,Delhi,Night,two_or_more,Morning,Chennai,Economy,12.92,34,1998
Air_India,AI-671,Mumbai,Morning,zero,Morning,Chennai,Business,1.92,22,23484
GO_FIRST,G8-227,Kolkata,Early_Morning,one,Night,Bangalore,Economy,15.42,13,6488
Air_India,AI-667,Mumbai,Evening,one,Late_Night,Delhi,Economy,7.17,46,8777
Air_India,AI-503,Bangalore,Evening,zero,Night,Delhi,Business,2.75,14,32923
GO_FIRST,G8-103,Delhi,Evening,zero,Night,Kolkata,Economy,2.33,12,5954
Vistara,UK-852,Bangalore,Morning,one,Evening,Kolkata,Economy,10.42,47,6271
Air_India,AI-569,Chennai,Early_Morning,one,Night,Delhi,Economy,17.42,28,3916
Vistara,UK-822,Chennai,Morning,one,Evening,Kolkata,Business,7.08,18,54896
Air_India,AI-669,Mumbai,Morning,one,Afternoon,Bangalore,Business,26.33,11,39547
Vistara,UK-864,Bangalore,Evening,one,Late_Night,Delhi,Economy,5.92,29,4111
Air_India,AI-888,Mumbai,Evening,one,Evening,Hyderabad,Business,24.33,3,49154
Vistara,UK-864,Bangalore,Evening,one,Morning,Delhi,Business,13.58,37,50361
Air_India,AI-640,Bangalore,Early_Morning,one,Night,Hyderabad,Business,14.83,25,37929
GO_FIRST,G8-165,Delhi,Early_Morning,one,Night,Bangalore,Economy,16.0,7,7424
GO_FIRST,G8-385,Bangalore,Early_Morning,zero,Early_Morning,Mumbai,Economy,1.67,48,2201
Indigo,6E-6753,Bangalore,Morning,one,Evening,Delhi,Economy,6.33,7,12213
Indigo,6E-6513,Kolkata,Morning,one,Afternoon,Delhi,Economy,6.92,23,6977
Indigo,6E-6067,Bangalore,Evening,one,Night,Mumbai,Economy,4.5,49,3153
Air_India,AI-573,Bangalore,Afternoon,one,Afternoon,Kolkata,Economy,23.33,44,10397
Air_India,AI-9745,Kolkata,Morning,two_or_more,Night,Hyderabad,Economy,10.0,26,6578
