Brand,Model,Series,Processor,Processor_Gen,RAM,Hard_Disk_Capacity,OS,Rating,Price
ASUS,VivoBook,15,i3,10th,8.0,512 GB SSD,Windows 11 Home,4.3,37940
DELL,Inspiron,,i3,11th,8.0,1 TB HDD,Windows 11 Home,3.7,39040
ASUS,VivoBook,15,i7,10th,16.0,512 GB SSD,Windows 11 Home,4.1,57940
DELL,,,i3,10th,8.0,1 TB HDD,Windows 10,3.2,41340
Lenovo,IdeaPad,Slim,i3,11th,8.0,512 GB SSD,Windows 10 Home,4.4,45440
ASUS,TUF,Gaming,i5,11th,16.0,512 GB SSD,Windows 10 Home,4.6,89940
ASUS,VivoBook,Ultra,i3,11th,8.0,512 GB SSD,Windows 11 Home,4.8,42940
HP,,,i3,10th,8.0,512 GB SSD,Windows 10 Home,4.3,42340
APPLE,2020,Macbook,,,,,,4.6,129990
DELL,Inspiron,,i3,11th,8.0,256 GB SSD,Windows 11 Home,4.3,41540
DELL,Inspiron,,i3,11th,8.0,1 TB HDD,Windows 11 Home,3.7,39040
Lenovo,Ideapad,Slim,i5,11th,8.0,512 GB SSD,Windows 10 Home,4.2,56449
acer,Nitro,Ryzen,5600H,-,8.0,1 TB HDD,256 GB SSD,4.5,72940
HP,Ryzen,3,3250U,-,8.0,256 GB SSD,Windows 10 Home,4.3,38940
DELL,Vostro,3405,3450U,-,8.0,256 GB SSD,Windows 10 Home,4.2,44440
Lenovo,IdeaPad,3,i3,11th,8.0,256 GB SSD,Windows 11 Home,4.3,39940
acer,Swift,3,i5,8th,8.0,1 TB HDD,128 GB SSD,4.6,59940
DELL,Inspiron,,i3,11th,8.0,512 GB SSD,Windows 11 Home,4.4,45540
Lenovo,IdeaPad,3,i5,10th,8.0,512 GB SSD,Windows 10 Home,4.3,50940
HP,HP,Pavilion,4600H,-,8.0,512 GB SSD,Windows 10 Home,4.4,59940
DELL,Inspiron,Athlon,3050U,-,4.0,256 GB SSD,Windows 11 Home,4.2,33940
ASUS,Chromebook,Celeron,-,(4,4.0,64 GB EMMC Storage,Chrome OS,4.2,23490
ASUS,ASUS,TUF,i5,11th,8.0,512 GB SSD,Windows 10 Home,4.5,71940
HP,15q,,i3,7th,4.0,1 TB HDD,DOS,4.2,32905
Lenovo,IdeaPad,5,i5,11th,16.0,512 GB SSD,Windows 10 Home,4.6,70940
ASUS,VivoBook,15,i3,10th,4.0,1 TB HDD,Windows 10 Home,3.7,31940
