ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms
8440,B,Ship,4,1,284,4,low,F,4,4795
10849,D,Ship,3,2,201,4,medium,M,10,5565
9478,B,Ship,4,4,181,3,medium,F,9,4425
2968,B,Ship,6,2,236,4,low,F,61,3140
6964,B,Road,5,1,282,4,low,F,9,4766
7202,F,Ship,6,1,272,4,medium,M,10,1534
10869,A,Ship,4,4,219,3,medium,M,10,4947
1444,B,Ship,5,3,184,4,medium,F,2,3798
9311,C,Road,4,1,213,5,low,M,10,5492
4849,D,Ship,3,1,175,3,medium,M,1,4872
3058,B,Ship,5,5,257,4,medium,M,31,2040
6048,F,Ship,6,3,295,5,low,M,4,1392
9444,F,Road,5,2,258,5,low,M,3,1824
8210,F,Road,4,3,152,4,medium,F,4,5809
824,F,Flight,5,3,178,2,medium,F,60,1830
8245,D,Ship,4,1,144,4,low,F,10,4175
9534,F,Ship,3,3,246,4,low,F,3,4316
1692,F,Ship,4,2,189,3,medium,M,6,3671
2570,F,Ship,5,2,263,2,medium,F,63,1254
7181,C,Ship,7,5,278,4,low,F,5,1126
8710,B,Ship,3,2,244,2,high,F,9,4142
8349,A,Road,6,1,278,4,medium,M,6,1576
2787,A,Ship,3,5,206,3,medium,M,21,3746
6521,C,Ship,3,3,216,8,medium,M,4,5329
2764,B,Ship,3,2,191,4,medium,F,16,2277
4572,F,Ship,2,2,171,2,medium,F,6,5105
9813,A,Ship,4,3,253,3,low,F,5,5703
4213,D,Ship,3,5,222,3,low,M,4,5149
10333,D,Ship,5,4,161,5,medium,M,1,5779
5471,C,Road,6,5,264,4,low,M,1,1039
3336,F,Ship,3,4,179,2,low,F,2,4931
8696,F,Ship,3,1,187,3,medium,M,7,4607
1544,F,Ship,3,4,212,2,medium,F,56,3976
10557,A,Flight,4,1,227,3,high,M,8,4795
9122,F,Ship,5,3,210,7,medium,F,4,4362
10234,B,Ship,5,1,158,2,medium,M,6,4873
2009,C,Ship,3,2,134,3,medium,F,54,1932
7803,A,Road,5,3,201,2,low,F,1,4548
2520,F,Ship,2,4,223,3,medium,F,19,3356
6332,F,Ship,3,4,239,4,medium,F,8,4537
10335,A,Ship,4,3,170,4,medium,F,9,4375
262,B,Road,2,3,151,3,low,F,23,1930
7931,C,Road,3,1,242,10,high,M,9,5151
1458,F,Ship,4,4,232,4,low,M,27,3436
7591,D,Ship,4,2,274,3,medium,F,7,4477
9986,F,Road,4,4,233,3,low,M,9,4300
6956,F,Ship,5,2,257,3,low,F,2,4677
6788,F,Ship,4,4,247,3,high,F,2,5324
177,A,Ship,4,5,192,3,high,M,20,3872
5585,C,Ship,3,3,260,2,low,M,7,5738
4881,A,Ship,3,3,218,3,low,F,4,5086
3764,F,Ship,4,4,182,3,medium,F,8,5453
2077,D,Ship,3,4,172,10,high,F,23,1875
9543,A,Ship,3,1,242,5,low,F,3,4026
2167,D,Road,3,4,244,3,low,F,46,2844
10145,C,Flight,5,1,233,5,medium,M,4,1622
10722,F,Ship,5,1,234,5,medium,M,8,1837
1503,A,Flight,3,4,135,3,low,M,11,1740
74,F,Ship,4,5,215,3,medium,F,21,3984
10396,B,Road,3,2,286,6,high,F,1,5035
1567,D,Ship,5,1,159,4,low,M,38,1277
4822,B,Ship,6,5,281,4,low,M,8,1241
7316,F,Ship,3,5,177,4,high,M,9,5311
5692,B,Ship,4,1,216,2,low,F,5,5059
7656,F,Road,4,3,140,8,medium,M,8,4065
1046,F,Ship,4,5,135,3,medium,F,53,1744
1551,A,Ship,5,5,259,2,medium,M,63,2583
8992,B,Ship,3,4,236,4,high,F,9,4744
5955,A,Ship,4,5,134,3,low,F,8,5694
814,B,Road,3,2,140,2,high,F,7,1401
10238,F,Ship,5,1,233,3,low,F,9,5039
5646,F,Ship,2,3,247,4,low,M,5,5725
10209,A,Ship,5,2,263,6,low,M,2,1851
10575,A,Ship,3,2,144,4,medium,M,8,4867
9548,F,Ship,3,2,153,4,high,M,7,4750
9331,D,Flight,3,2,154,3,low,F,8,5149
6997,D,Flight,3,2,286,6,high,F,5,5588
3836,F,Flight,3,5,220,4,low,M,2,4313
661,D,Road,5,1,158,3,low,M,9,1483
10400,F,Road,4,2,189,10,medium,F,5,5470
4855,D,Ship,2,5,284,3,medium,M,6,4575
