ID,Reached.on.Time_Y.N
8440,1
10849,0
9478,1
2968,1
6964,0
7202,1
10869,0
1444,1
9311,0
4849,0
3058,1
6048,0
9444,0
8210,0
824,1
8245,0
9534,0
1692,1
2570,1
7181,1
8710,0
8349,0
2787,1
6521,1
2764,1
4572,0
9813,0
4213,0
10333,1
5471,1
3336,1
8696,0
1544,1
10557,0
9122,0
10234,0
2009,1
7803,1
2520,1
6332,0
10335,0
262,1
7931,1
1458,1
7591,1
9986,1
6956,1
6788,1
177,1
5585,0
4881,1
3764,1
2077,1
9543,0
2167,1
10145,0
10722,0
1503,1
74,1
10396,1
1567,1
4822,1
7316,0
5692,0
7656,1
1046,1
1551,1
8992,0
5955,0
814,1
10238,0
5646,0
10209,0
10575,1
9548,1
9331,1
6997,0
3836,0
661,1
10400,0
4855,0
8370,1
4515,1
1211,1
1729,1
876,1
6295,0
1587,1
974,1
9140,1
9130,1
9786,0
6200,1
561,1
3444,0
10851,0
3736,0
965,1
899,1
3377,1
4523,1
1118,1
8317,0
1987,1
6210,1
10173,0
8027,0
10187,0
1802,1
8170,1
3105,1
3543,1
6013,0
5401,0
9573,0
194,1
10558,0
1469,1
5847,1
1677,1
4564,1
2316,1
10937,1
8925,0
945,1
6426,0
9116,0
10025,1
980,1
5014,0
10986,1
4339,1
912,1
4178,1
4471,0
9294,0
1145,1
4390,1
4189,1
7302,1
9759,0
8402,0
3877,0
10355,0
905,1
5633,0
6747,0
3826,0
4437,0
6556,0
3040,1
794,1
5370,0
3276,1
10785,0
9183,0
631,1
7862,0
9173,1
9339,1
1926,1
2816,1
3031,1
8018,1
9775,1
3548,1
5161,0
7213,1
4744,0
604,1
2409,1
2653,1
10663,0
10159,1
4503,0
7697,0
10040,1
6387,1
1856,1
5425,1
3,1
1088,1
1133,1
2255,1
4898,0
5422,0
26,1
3323,1
6883,1
1783,1
7162,0
4944,0
7025,1
5070,1
256,1
10863,0
6479,1
7333,1
8948,0
10927,0
5261,1
10646,1
9488,1
6960,0
9536,1
6510,0
4742,0
5874,0
2541,1
477,1
163,1
7350,1
6430,1
9635,1
6868,1
2085,1
3408,0
6020,0
1235,1
8338,0
10919,0
4866,0
7548,1
9841,1
1653,1
10108,0
1704,1
4026,1
99,1
2741,1
6830,0
1176,1
5558,0
9731,1
5928,0
10120,0
7199,1
5031,1
10112,0
6444,0
2031,1
3879,0
4916,0
7788,1
4746,0
7038,0
5903,1
6400,1
678,1
2535,1
3300,0
2257,1
4496,1
10596,0
1420,1
9477,0
487,1
2400,1
4331,1
10204,1
5010,0
10207,0
10123,1
8689,0
3036,1
6805,0
9514,1
1293,1
897,1
3470,1
3569,0
5513,1
5329,0
9037,0
976,1
983,1
9313,0
6826,1
4456,0
1961,1
4662,0
2323,1
6626,0
9860,1
5111,1
5372,1
181,1
9501,0
10133,0
10244,1
