id,age,city,f1,f2,f3,f4,f5,subscribed,views
id01,2,서울,,0,gold,ENFJ,91.29779092,2021-07-16,6820
id02,9,서울,70,1,,ENFJ,60.33982554,2021-05-12,2534
id03,27,서울,61,1,gold,ISTJ,17.25298557,2021-03-16,7312
id04,75,서울,,2,,INFP,52.66707799,2021-07-21,493
id05,24,서울,85,2,,ISFJ,29.26986926,2021-03-07,1338
id06,22,서울,57,0,vip,INTP,20.1294441,2021-09-12,21550
id07,36.3,서울,60,1,,ISFJ,9.796377581,2021-01-11,61
id08,38,서울,101,1,silver,INFJ,83.68538032,2021-03-06,3260
id09,3.3,서울,35,2,,ESFJ,17.25298557,2021-03-21,2764
id10,95,서울,74,1,gold,ISFP,98.42989897,2021-04-03,9992
id100,47,경기,53,0,vip,ESFP,33.30899901,2021-02-21,15535
id11,40,서울,68,0,gold,ENFP,98.42989897,2021-10-29,6752
id12,20,서울,,0,,ESTP,91.29779092,2021-11-30,1367
id13,15,서울,68,0,gold,ESFJ,83.68538032,2021-12-30,5643
id14,77,서울,50,1,gold,ENTJ,67.8863732,2021-09-19,5700
id15,22,서울,67,1,gold,ENTP,9.796377581,2021-05-26,7676
id16,68,서울,85,0,gold,ESFP,16.2838541,2021-07-25,9472
id17,74,서울,,1,gold,ISTP,67.8863732,2021-10-26,9441
id18,41,서울,87,2,gold,ISFJ,80.13828012,2021-03-03,7933
id19,53,서울,,0,gold,ISFP,83.68538032,2021-12-24,5287
id20,11,서울,51,1,,INTJ,91.29779092,2021-07-16,
id21,90,부산,,1,gold,ISFP,29.26986926,2021-05-03,9690
id22,-6.3,부산,72,1,gold,ENFP,52.66707799,2021-02-09,6147
id23,34,부산,75,1,gold,ISTP,69.73031281,2021-05-21,6236
id24,80,부산,44,0,gold,INFJ,73.58639712,2021-09-11,5976
id25,34,부산,,0,gold,ESTP,60.33982554,2021-07-12,8954
id26,55,부산,57,1,gold,ENFP,83.68538032,2021-05-01,5857
id27,37,부산,60,0,silver,ESTP,73.58639712,2021-10-13,4255
id28,38,부산,34,1,gold,ENTP,80.13828012,2021-10-31,5068
id29,-13.5,부산,47,2,gold,ENTP,67.8863732,2021-08-28,6793
id30,16,부산,,0,,ESTJ,17.25298557,2021-05-28,240
id31,86,부산,77,0,gold,ESFJ,73.58639712,2021-02-11,8014
id32,25,부산,64,0,vip,ISFJ,13.04992129,2021-05-24,17421
id33,47,부산,94,0,silver,ENFJ,17.25298557,2021-04-02,3880
id34,65,부산,,1,silver,INFP,48.43118381,2021-02-01,3163
id35,30,부산,,2,silver,ESTJ,33.30899901,2021-06-10,3084
id36,68,부산,77,1,gold,INTP,13.04992129,2021-07-20,9713
id37,100,부산,,0,silver,ESTP,33.30899901,2021-07-08,4068
id38,87,부산,,1,,ESTP,83.68538032,2021-06-21,1048
id39,56,부산,50,0,,INFJ,33.30899901,2021-12-22,
id40,56,대구,75,0,gold,ENFP,17.25298557,2021-01-22,8481
id41,81,대구,55,0,gold,ENFJ,37.11373918,2021-10-04,8640
id42,65,대구,48,2,gold,ESTP,33.30899901,2021-02-09,5999
id43,23,대구,60,0,silver,ISTP,29.26986926,2021-05-18,3878
id44,44,대구,,0,,INTP,16.2838541,2021-11-10,546
id45,97,대구,88,0,gold,ENFJ,13.04992129,2021-06-21,8317
id46,93,대구,,0,gold,ESTJ,67.8863732,2021-05-23,9711
id47,34.6,대구,75,1,gold,ESTJ,90.49699927,2021-05-28,8628
id48,18,대구,,0,,ENFP,20.1294441,2021-03-25,
id49,75,대구,88,0,gold,INTP,37.11373918,2021-03-31,9737
id50,86,대구,78,1,,ENFP,60.33982554,2021-12-05,1935
id51,36,대구,,0,gold,ISTJ,83.68538032,2021-08-20,7217
id52,97,대구,82,1,gold,ISFJ,90.49699927,2021-05-20,8518
id53,52,대구,50,0,gold,ESTP,20.1294441,2021-09-09,7012
id54,53,대구,,1,gold,ENFJ,69.73031281,2021-06-21,5872
id55,75,대구,63,2,gold,ENTP,13.04992129,2021-02-06,6042
id56,59,대구,,1,vip,ESTJ,73.58639712,2021-04-05,19589
id57,3,대구,111,0,silver,ISFJ,29.26986926,2021-01-12,4421
id58,0,대구,100,2,,ESTP,33.30899901,2021-04-18,1928
id59,64,대구,,1,silver,ESFJ,20.1294441,2021-06-23,4994
id60,56,경기,,0,gold,ESFP,52.66707799,2021-11-24,6794
id61,87,경기,62,2,,INTP,69.73031281,2021-02-03,218
id62,52,경기,,0,,INTP,60.33982554,2021-04-10,2100
id63,88,경기,86,1,silver,ISFJ,73.58639712,2021-12-01,4053
id64,43,경기,62,2,gold,ESFP,73.58639712,2021-02-22,5995
id65,26.5,경기,,0,silver,ISFP,91.29779092,2021-01-10,3336
id66,87,경기,,1,gold,ISFP,17.25298557,2021-08-05,8471
id67,66,경기,52,1,,ISFJ,73.58639712,2021-06-17,1159
id68,35,경기,45,2,gold,ISFP,67.8863732,2021-07-29,8599
id69,75,경기,85,0,,ESTJ,69.73031281,2021-11-14,2708
id70,-9,경기,96,1,silver,ISTP,48.43118381,2021-11-17,4442
id71,35,경기,84,2,gold,ISFP,52.66707799,2021-07-15,8087
id72,8,경기,97,0,,ESTJ,97.38103419,2021-01-30,602
id73,90,경기,,1,,ISFJ,73.58639712,2021-08-12,512
id74,45,경기,98,0,gold,ESTP,52.66707799,2021-05-27,7739
id75,63,경기,47,0,gold,ESTP,20.1294441,2021-06-12,6779
id76,71,경기,12,0,,ENTJ,83.68538032,2021-07-28,2872
id77,77,경기,31,0,,INFP,98.42989897,2021-01-16,1518
id78,92,경기,96,1,gold,INTJ,69.73031281,2021-10-27,7565
id79,30,경기,,0,gold,INTJ,80.13828012,2021-08-14,8777
id80,67,경기,60,0,silver,ISFP,83.68538032,2021-01-14,4381
id81,86,경기,50,1,,ISFJ,37.11373918,2021-09-14,244
id82,48,경기,,0,,ENTJ,37.11373918,2021-10-17,
id83,73,경기,50,1,vip,ENTP,80.13828012,2021-09-26,19139
id84,66,경기,44,0,gold,INTP,83.68538032,2021-12-19,5650
id85,83.6,경기,55,0,gold,INFJ,80.13828012,2021-09-24,6719
id86,2,경기,,0,,ESTP,29.26986926,2021-02-16,2155
id87,19,경기,,1,gold,ISFP,97.38103419,2021-08-30,6516
id88,89,경기,75,0,,ESTJ,60.33982554,2021-01-06,2713
id89,34,경기,66,1,gold,ENTJ,33.30899901,2021-10-14,6119
id90,54,경기,,0,silver,ENTP,29.26986926,2021-04-03,3818
id91,6,경기,72,0,gold,INTP,9.796377581,2021-08-23,8988
id92,97,경기,78,1,gold,INFP,97.38103419,2021-05-08,9625
id93,21.8,경기,57,0,,ISFP,73.58639712,2021-06-07,42
id94,84,경기,,1,silver,ESTJ,90.49699927,2021-08-16,3774
id95,77,경기,43,1,gold,INTJ,91.29779092,2021-05-21,8697
id96,92,경기,53,1,silver,ENTJ,52.66707799,2021-05-06,4336
id97,100,경기,,0,gold,INFP,67.8863732,2021-03-18,6687
id98,39,경기,58,2,,INFP,98.42989897,2021-10-02,865
id99,1,경기,47,0,gold,ESFJ,97.38103419,2021-12-02,6090
