시도명,시군구명,종량제봉투종류,종량제봉투처리방식,종량제봉투용도,종량제봉투사용대상,1ℓ가격,1.5ℓ가격,2ℓ가격,2.5ℓ가격,3ℓ가격,5ℓ가격,10ℓ가격,20ℓ가격,30ℓ가격,50ℓ가격,60ℓ가격,75ℓ가격,100ℓ가격,120ℓ가격,125ℓ가격,관리부서명,관리부서전화번호,데이터기준일자,제공기관코드,제공기관명
경기도,안양시,규격봉투,매립용,생활쓰레기,사업장용,0,0,0,0,0,150,300,550,0,1400,0,2100,0,0,0,자원순환과,031-8045-5448,2022-08-12,3830000,경기도 안양시
경기도,안양시,규격봉투,매립용,생활쓰레기,기타,0,0,0,0,0,150,300,550,0,1400,0,2100,0,0,0,자원순환과,031-8045-5448,2022-08-12,3830000,경기도 안양시
경기도,안양시,규격봉투,소각용,음식물쓰레기,가정용,0,50,0,80,0,150,300,550,0,0,0,0,0,0,0,자원순환과,031-8045-5448,2022-08-12,3830000,경기도 안양시
경기도,안양시,규격봉투,소각용,음식물쓰레기,사업장용,0,50,0,80,0,150,300,550,0,0,0,0,0,0,0,자원순환과,031-8045-5448,2022-08-12,3830000,경기도 안양시
경기도,안양시,규격봉투,소각용,음식물쓰레기,기타,0,50,0,80,0,150,300,550,0,0,0,0,0,0,0,자원순환과,031-8045-5448,2022-08-12,3830000,경기도 안양시
경기도,안양시,재사용규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,0,300,550,0,0,0,0,0,0,0,자원순환과,031-8045-5448,2022-08-12,3830000,경기도 안양시
경기도,안양시,재사용규격봉투,소각용,생활쓰레기,사업장용,0,0,0,0,0,0,300,550,0,0,0,0,0,0,0,자원순환과,031-8045-5448,2022-08-12,3830000,경기도 안양시
경기도,안양시,재사용규격봉투,소각용,생활쓰레기,기타,0,0,0,0,0,0,300,550,0,0,0,0,0,0,0,자원순환과,031-8045-5448,2022-08-12,3830000,경기도 안양시
경기도,안양시,재사용규격봉투,매립용,생활쓰레기,가정용,0,0,0,0,0,0,300,550,0,0,0,0,0,0,0,자원순환과,031-8045-5448,2022-08-12,3830000,경기도 안양시
경기도,안양시,재사용규격봉투,매립용,생활쓰레기,사업장용,0,0,0,0,0,0,300,550,0,0,0,0,0,0,0,자원순환과,031-8045-5448,2022-08-12,3830000,경기도 안양시
경기도,안양시,재사용규격봉투,매립용,생활쓰레기,기타,0,0,0,0,0,0,300,550,0,0,0,0,0,0,0,자원순환과,031-8045-5448,2022-08-12,3830000,경기도 안양시
경기도,안양시,특수규격마대,매립용,생활쓰레기,가정용,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,자원순환과,031-8045-5448,2022-08-12,3830000,경기도 안양시
경기도,안양시,특수규격마대,매립용,생활쓰레기,사업장용,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,자원순환과,031-8045-5449,2022-08-12,3830000,경기도 안양시
경기도,안양시,특수규격마대,매립용,생활쓰레기,기타,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,자원순환과,031-8045-5450,2022-08-12,3830000,경기도 안양시
경기도,안양시,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,150,300,550,0,1400,0,2100,0,0,0,자원순환과,031-8045-5448,2022-08-12,3830000,경기도 안양시
경기도,안양시,규격봉투,소각용,생활쓰레기,사업장용,0,0,0,0,0,150,300,550,0,1400,0,2100,0,0,0,자원순환과,031-8045-5448,2022-08-12,3830000,경기도 안양시
경기도,오산시,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,100,140,260,480,720,1200,0,2000,0,0,0,청소자원과,031-8036-6714,2022-08-04,4000000,경기도 오산시
경기도,오산시,규격봉투,소각용,음식물쓰레기,가정용,40,0,80,0,130,220,440,880,0,0,0,0,0,0,0,청소자원과,031-8036-6714,2022-08-04,4000000,경기도 오산시
경기도,오산시,재사용규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,140,260,480,0,0,0,0,0,0,0,청소자원과,031-8036-6714,2022-08-04,4000000,경기도 오산시
경기도,오산시,특수규격마대,매립용,생활쓰레기,가정용,0,0,0,0,0,0,0,1500,0,2000,0,0,0,0,0,청소자원과,031-8036-6714,2022-08-04,4000000,경기도 오산시
서울특별시,강남구,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,130,250,490,740,1250,0,0,0,0,0,청소행정과,02-3423-5975,2022-08-08,3220000,서울특별시 강남구
서울특별시,강남구,재사용규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,0,250,490,0,0,0,0,0,0,0,청소행정과,02-3423-5975,2022-08-08,3220000,서울특별시 강남구
충청남도,서산시,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,70,120,230,460,0,1150,0,0,0,0,0,자원순환과,041-660-2033,2022-08-04,4530000,충청남도 서산시
충청남도,서산시,재사용규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,0,230,460,0,0,0,0,0,0,0,자원순환과,041-660-2033,2022-08-04,4530000,충청남도 서산시
경기도,연천군,규격봉투,소각용,음식물쓰레기,가정용,0,0,0,0,70,130,290,560,0,0,0,0,0,0,0,환경보호과,031-839-2253,2022-06-13,4140000,경기도 연천군
