"시도교육청","지역교육청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년 전입학생수","1학년 전출학생수","1학년 전체학생수","2학년 전입학생수","2학년 전출학생수","2학년 전체학생수","3학년 전입학생수","3학년 전출학생수","3학년 전체학생수","4학년 전입학생수","4학년 전출학생수","4학년 전체학생수","5학년 전입학생수","5학년 전출학생수","5학년 전체학생수","6학년 전입학생수","6학년 전출학생수","6학년 전체 학생수","전입학생수(계)","전출학생수(계)","전체학생수(계)"
"서울특별시교육청","교육부","서울특별시 서초구","S000003511","서울교육대학교부설초등학교","02","국립","N","","5","0","96","0","0","96","0","0","96","1","0","104","0","0","108","0","0","111","6","0","611"
"서울특별시교육청","교육부","서울특별시 종로구","S000003563","서울대학교사범대학부설초등학교","02","국립","N","","4","1","99","7","8","102","2","4","106","4","5","104","3","2","104","0","1","106","20","21","621"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000738","서울개일초등학교","02","공립","N","","13","8","157","24","10","164","21","5","175","25","14","179","19","8","177","16","5","152","118","50","1004"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000741","서울구룡초등학교","02","공립","N","","2","6","122","11","5","108","24","4","126","22","5","129","18","4","129","13","3","119","90","27","733"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000742","서울논현초등학교","02","공립","N","","1","7","53","1","6","39","0","3","50","2","3","48","2","10","53","0","0","47","6","29","290"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000743","서울대곡초등학교","02","공립","N","","9","3","116","26","10","180","42","19","197","22","9","213","28","18","253","26","8","262","153","67","1221"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000744","서울대도초등학교","02","공립","N","","14","4","260","27","12","304","40","22","378","47","25","372","38","24","397","42","3","418","208","90","2129"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000745","서울대모초등학교","02","공립","N","","2","6","135","7","6","145","10","9","147","9","6","189","8","12","185","4","6","190","40","45","991"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000746","서울대왕초등학교","02","공립","N","","0","0","96","0","1","102","0","11","104","1","2","140","2","1","165","0","9","147","3","24","754"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000747","서울대진초등학교","02","공립","N","","1","4","43","4","8","55","4","4","50","3","10","53","2","3","36","2","3","49","16","32","286"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000748","서울대청초등학교","02","공립","N","","0","2","24","1","7","20","0","1","22","0","1","24","3","5","22","2","2","20","6","18","132"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000749","서울대치초등학교","02","공립","N","","6","7","161","24","11","247","23","15","258","24","9","319","32","11","318","30","13","353","139","66","1656"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000750","서울대현초등학교","02","공립","N","","11","0","79","25","4","81","29","10","85","37","4","122","40","6","134","61","3","184","203","27","685"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000751","서울도곡초등학교","02","공립","N","","11","4","117","21","8","128","27","6","145","38","6","158","31","12","193","39","9","213","167","45","954"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000752","서울도성초등학교","02","공립","N","","8","7","231","17","11","278","39","11","310","40","10","328","34","12","393","30","7","348","168","58","1888"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000753","서울반원초등학교","02","공립","N","","9","10","193","17","14","212","12","20","223","14","12","226","18","9","253","10","7","254","80","72","1361"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000754","서울반포초등학교","02","공립","N","","3","68","114","5","75","102","7","76","116","8","63","124","4","35","172","6","5","136","33","322","764"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000755","서울방배초등학교","02","공립","N","","3","5","123","6","5","114","12","6","163","10","10","140","14","8","178","11","8","170","56","42","888"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000756","서울방일초등학교","02","공립","N","","15","6","154","17","10","138","16","11","154","11","8","149","12","8","163","10","6","148","81","49","906"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000757","서울방현초등학교","02","공립","N","","1","10","33","4","12","44","1","8","52","1","9","50","6","9","52","4","6","63","17","54","294"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000758","서울봉은초등학교","02","공립","N","","5","3","78","3","9","94","8","7","82","8","5","77","6","5","84","5","2","91","35","31","506"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000759","서울삼릉초등학교","02","공립","N","","5","7","91","6","7","86","8","9","111","7","3","101","3","4","82","7","4","103","36","34","574"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000760","서울서래초등학교","02","공립","N","","4","9","209","17","15","214","14","17","266","17","12","242","19","13","227","19","8","220","90","74","1378"
