model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
 EcoSport,2017,10298,Manual,25013,Petrol,150,53.3,1.0
 Focus,2016,10491,Manual,30970,Diesel,0,74.3,1.5
 S-MAX,2017,13498,Manual,60200,Diesel,150,56.5,2.0
 Fiesta,2018,10600,Manual,27380,Petrol,145,56.5,1.0
 Fiesta,2018,11000,Manual,7724,Petrol,145,65.7,1.0
 Fiesta,2014,7291,Manual,23894,Petrol,30,54.3,1.2
 Focus,2016,7990,Manual,32000,Diesel,0,74.3,1.5
 Focus,2019,18400,Manual,8230,Diesel,145,74.3,1.5
 Fiesta,2014,6998,Manual,20325,Petrol,30,54.3,1.2
 B-MAX,2013,6700,Manual,15897,Petrol,145,47.1,1.4
 Ka+,2017,7500,Manual,26733,Petrol,145,57.7,1.2
 Fiesta,2018,11800,Manual,34671,Petrol,145,65.7,1.0
 Grand C-MAX,2018,13950,Manual,4354,Petrol,145,54.3,1.0
 Kuga,2017,16199,Manual,13182,Diesel,145,64.2,1.5
 Kuga,2016,13250,Manual,42573,Diesel,145,54.3,2.0
 Fiesta,2018,11200,Manual,14305,Petrol,145,56.5,1.0
 Focus,2019,21350,Automatic,2314,Petrol,145,39.2,1.5
 Fiesta,2018,9800,Manual,11468,Petrol,145,64.2,1.1
 KA,2014,5499,Manual,21200,Petrol,30,57.7,1.2
 Kuga,2019,17990,Manual,1050,Diesel,145,38.2,2.0
 Mondeo,2015,8470,Manual,73991,Diesel,30,65.7,2.0
 Fiesta,2018,10600,Manual,20830,Petrol,145,56.5,1.0
 Fiesta,2014,6999,Manual,25495,Petrol,30,54.3,1.2
 Kuga,2017,14298,Manual,6345,Diesel,145,54.3,2.0
 Fiesta,2017,12000,Automatic,12983,Petrol,145,57.7,1.0
 Fiesta,2015,7770,Manual,24074,Petrol,0,65.7,1.0
 Focus,2017,17197,Manual,22093,Diesel,145,67.3,2.0
 Focus,2016,8882,Manual,39753,Diesel,0,74.3,1.5
 C-MAX,2018,12899,Manual,6207,Petrol,145,49.6,1.0
 Edge,2017,19695,Semi-Auto,27697,Diesel,145,48.7,2.0
 Kuga,2018,19300,Semi-Auto,19000,Diesel,150,54.3,2.0
 Focus,2017,10400,Manual,13275,Petrol,145,60.1,1.0
 Galaxy,2013,7651,Automatic,63000,Diesel,200,47.1,2.0
 Kuga,2019,13695,Manual,2047,Petrol,150,34.4,1.5
 Focus,2018,16298,Automatic,7097,Diesel,145,64.2,2.0
 Fiesta,2018,8899,Manual,36512,Petrol,145,65.7,1.0
 Focus,2019,14110,Manual,7862,Petrol,145,60.1,1.0
 Fiesta,2017,8492,Manual,33847,Diesel,0,78.5,1.5
 Fiesta,2017,9899,Manual,22385,Petrol,145,65.7,1.0
 Focus,2019,14890,Manual,11867,Petrol,145,60.1,1.0
 Fiesta,2019,10991,Manual,5735,Petrol,145,55.4,1.1
 Focus,2015,11400,Manual,16299,Petrol,125,51.4,1.5
 Focus,2017,9798,Manual,32160,Petrol,20,60.1,1.0
 Focus,2018,15999,Manual,8000,Diesel,145,74.3,1.5
 Fiesta,2020,16490,Manual,2873,Petrol,145,58.9,1.0
 Fiesta,2018,12000,Manual,7526,Petrol,145,65.7,1.0
 Focus,2019,15580,Manual,5011,Petrol,145,60.1,1.0
 EcoSport,2018,14999,Manual,9605,Petrol,145,54.3,1.0
 Fiesta,2017,7990,Manual,39592,Petrol,150,65.7,1.0
 EcoSport,2017,9995,Manual,27175,Petrol,145,52.3,1.0
 Kuga,2019,22500,Manual,2514,Diesel,145,39.2,2.0
 Fiesta,2016,7499,Manual,27243,Petrol,125,54.3,1.2
 Fiesta,2019,12489,Manual,11623,Petrol,145,58.9,1.0
 C-MAX,2016,10995,Automatic,5000,Diesel,20,64.2,1.5
 Fiesta,2018,9300,Manual,25251,Petrol,145,65.7,1.0
 Focus,2017,10498,Manual,28732,Petrol,145,61.4,1.0
 Ka+,2019,9950,Manual,906,Petrol,145,43.5,1.2
 Ka+,2018,8650,Manual,15707,Petrol,145,57.7,1.2
 Focus,2019,15200,Manual,13574,Petrol,145,49.6,1.0
 Ka+,2019,9291,Manual,7117,Petrol,145,47.9,1.2
 S-MAX,2017,16250,Manual,25373,Diesel,125,56.5,2.0
 Focus,2019,16500,Manual,1010,Diesel,145,80.7,1.5
 Grand Tourneo Connect,2016,12157,Automatic,45228,Diesel,125,56.6,1.5
 Focus,2019,18250,Automatic,4261,Petrol,150,48.7,1.0
 Focus,2019,15500,Manual,10000,Petrol,145,60.1,1.0
 Focus,2017,10300,Manual,51186,Petrol,125,51.4,1.5
 C-MAX,2017,9295,Manual,32133,Diesel,20,68.9,1.5
 Kuga,2019,21590,Manual,6688,Diesel,145,39.2,2.0
 Focus,2013,6899,Automatic,22488,Petrol,160,44.1,1.6
 Focus,2009,2395,Manual,102000,Diesel,30,58.9,1.6
 Fiesta,2017,9000,Manual,26286,Petrol,125,54.3,1.2
 KA,2018,8217,Manual,15179,Petrol,150,57.7,1.2
 Fiesta,2018,17495,Manual,11092,Petrol,150,40.3,1.5
 Mondeo,2020,22000,Manual,10,Diesel,145,65.7,2.0
 Focus,2017,12000,Manual,16790,Diesel,145,74.3,1.5
 Edge,2016,21750,Manual,13778,Diesel,200,47.9,2.0
 C-MAX,2017,10695,Manual,2374,Petrol,30,55.4,1.0
 Fiesta,2017,7897,Manual,27796,Petrol,145,54.3,1.2
 Mondeo,2019,19800,Manual,22,Diesel,145,65.7,2.0
