학교명,교사수,1학년,2학년,3학년,4학년,5학년,6학년
학교1,20,118,72,154,118,77,59
학교2,31,187,193,135,137,63,90
학교3,23,136,193,135,112,91,50
학교4,32,72,146,67,51,130,164
학교5,22,61,73,86,82,55,124
학교6,32,196,172,117,170,59,128
학교7,29,183,173,102,184,194,130
학교8,19,151,181,161,187,174,183
학교9,40,157,145,180,58,96,71
학교10,34,117,93,135,136,191,150
학교11,21,166,149,196,136,54,98
학교12,37,72,143,53,140,108,153
학교13,36,178,65,123,176,109,189
학교14,34,95,89,187,163,146,168
학교15,20,52,84,166,99,55,115
학교16,30,119,161,157,50,77,66
학교17,35,140,72,71,160,52,187
학교18,31,68,189,153,57,132,117
학교19,34,58,193,135,156,139,56
학교20,39,91,157,66,86,145,110
학교21,42,70,64,182,149,187,128
학교22,23,124,149,144,82,186,136
학교23,35,80,92,200,148,160,65
학교24,42,84,166,55,139,165,165
학교25,28,159,57,90,183,133,182
학교26,35,192,85,137,178,76,189
학교27,42,144,107,195,137,73,119
학교28,35,112,102,132,117,151,61
학교29,35,70,100,179,101,54,99
학교30,27,194,109,71,131,71,137
학교31,36,187,84,186,84,173,176
학교32,42,151,57,115,197,174,137
학교33,31,107,178,82,51,176,137
학교34,41,199,81,63,142,167,142
학교35,40,157,130,141,105,164,137
학교36,25,96,147,65,156,146,178
학교37,27,94,193,146,144,67,125
학교38,22,117,178,132,64,147,63
학교39,37,149,126,77,169,196,133
학교40,26,164,118,162,194,196,138
학교41,26,166,178,197,120,136,62
학교42,24,81,55,159,177,83,172
학교43,36,60,170,188,86,133,144
학교44,26,58,168,179,123,198,53
학교45,29,148,108,66,114,122,93
학교46,32,141,158,61,53,177,92
학교47,25,61,118,184,92,185,99
학교48,28,177,169,107,122,185,73
학교49,22,163,189,192,121,99,183
학교50,21,150,154,164,78,65,195
학교51,32,161,182,141,89,176,84
학교52,25,104,111,59,112,103,68
학교53,31,56,52,155,132,190,57
학교54,20,113,161,124,97,127,78
학교55,28,133,104,181,56,142,89
학교56,33,107,156,106,180,161,150
학교57,36,98,149,69,177,60,123
학교58,23,171,77,82,81,167,140
학교59,36,54,163,183,140,123,142
학교60,25,149,62,77,180,74,133
학교61,42,71,102,148,96,157,82
학교62,34,85,51,91,72,134,58
학교63,22,87,106,167,160,101,153
학교64,20,64,88,79,168,73,84
학교65,40,60,141,162,102,111,110
학교66,32,137,86,72,52,124,133
학교67,40,152,138,108,65,64,190
학교68,21,78,113,123,110,82,192
학교69,19,189,117,157,192,144,144
학교70,39,83,156,58,124,139,130
학교71,41,50,139,179,50,125,70
학교72,31,97,133,163,76,186,100
학교73,31,68,99,102,141,159,173
학교74,28,191,189,91,149,56,116
학교75,42,57,91,99,143,97,75
학교76,23,75,119,81,68,142,64
학교77,27,142,83,114,155,73,116
학교78,35,191,80,186,80,134,123
학교79,39,128,162,110,51,73,78
학교80,38,75,162,149,141,96,83
학교81,31,50,156,103,111,51,156
학교82,23,71,94,187,118,157,93
학교83,31,128,66,56,81,195,150
학교84,27,195,63,189,98,129,129
학교85,38,190,136,55,87,128,122
학교86,25,159,104,177,61,158,66
학교87,23,93,62,190,106,66,164
학교88,37,98,152,195,161,186,143
학교89,21,105,72,162,60,186,129
학교90,41,57,103,59,89,184,75
학교91,41,62,155,170,148,135,96
학교92,39,153,159,76,72,61,105
학교93,23,84,199,127,143,180,157
학교94,41,117,122,155,97,186,185
학교95,40,190,73,50,198,86,183
학교96,38,75,166,113,191,172,57
학교97,30,125,169,145,122,187,194
학교98,37,136,100,93,60,145,63
학교99,37,74,175,145,157,95,76
학교100,40,68,109,196,148,84,179
