날짜,강력범죄,절도범죄,폭력범죄,지능범죄,풍속범죄,교통범죄,경찰서명
2020년 01월,22,102,86,62,28,212,B경찰서
2020년 02월,26,138,80,61,31,183,E경찰서
2020년 03월,14,129,76,60,29,202,C경찰서
2020년 04월,26,142,83,71,33,182,B경찰서
2020년 05월,28,131,80,72,28,212,B경찰서
2020년 06월,22,104,84,72,34,201,A경찰서
2020년 07월,14,134,84,72,32,182,A경찰서
2020년 08월,27,101,71,67,31,198,B경찰서
2020년 09월,21,108,87,70,33,187,B경찰서
2020년 10월,21,114,89,61,32,212,E경찰서
2020년 11월,22,134,79,64,35,198,D경찰서
2020년 12월,13,118,82,76,37,236,C경찰서
2021년 01월,16,104,82,60,25,206,C경찰서
2021년 02월,19,145,88,60,30,204,B경찰서
2021년 03월,12,136,79,72,32,233,B경찰서
2021년 04월,26,106,87,71,28,216,C경찰서
2021년 05월,13,140,75,80,29,187,E경찰서
2021년 06월,12,131,78,65,30,201,E경찰서
2021년 07월,12,116,79,65,31,202,D경찰서
2021년 08월,25,129,77,69,33,185,A경찰서
2021년 09월,28,107,71,71,32,203,D경찰서
2021년 10월,18,130,71,77,30,206,C경찰서
2021년 11월,12,140,82,73,32,187,A경찰서
2021년 12월,27,108,90,89,20,213,E경찰서
2022년 01월,23,140,83,60,26,219,A경찰서
2022년 02월,11,111,73,60,31,211,B경찰서
2022년 03월,17,125,87,76,25,220,C경찰서
2022년 04월,10,112,78,78,28,185,E경찰서
2022년 05월,20,122,76,74,30,192,B경찰서
2022년 06월,24,139,87,77,29,192,E경찰서
2022년 07월,19,107,79,80,30,193,E경찰서
2022년 08월,27,124,81,62,29,187,C경찰서
2022년 09월,25,108,76,66,28,182,B경찰서
2022년 10월,25,134,71,75,33,189,C경찰서
2022년 11월,26,122,72,62,31,180,E경찰서
2022년 12월,22,104,87,80,31,181,C경찰서
2023년 01월,28,127,90,73,33,202,B경찰서
2023년 02월,10,102,96,73,33,166,A경찰서
2023년 03월,29,140,70,79,34,211,C경찰서
2023년 04월,17,123,100,62,32,201,B경찰서
2023년 05월,11,138,70,75,35,190,B경찰서
2023년 06월,30,128,78,74,34,216,C경찰서
2023년 07월,30,144,74,73,31,248,D경찰서
2023년 08월,26,120,86,76,33,188,C경찰서
2023년 09월,11,117,86,65,33,192,C경찰서
2023년 10월,12,117,86,67,28,200,C경찰서
2023년 11월,22,103,83,72,33,196,B경찰서
2023년 12월,28,124,83,61,27,209,A경찰서
2024년 01월,10,140,90,65,31,184,B경찰서
2024년 02월,16,137,72,80,30,180,C경찰서
2024년 03월,17,144,84,76,34,197,C경찰서
2024년 04월,14,150,85,75,31,181,C경찰서
2024년 05월,22,119,73,74,34,200,B경찰서
2024년 06월,30,122,70,70,24,161,B경찰서
2024년 07월,21,115,76,62,35,151,C경찰서
2024년 08월,17,104,98,85,24,180,E경찰서
2024년 09월,21,128,84,69,31,181,B경찰서
2024년 10월,20,105,80,77,33,188,E경찰서
2024년 11월,25,148,90,67,33,210,B경찰서
2024년 12월,21,142,77,62,35,183,E경찰서
