solar,wind,o3,temperature
89.14,6.28,33.52,23.0
109.97,1.04,27.01,20.7
102.83,6.42,41.0,20.5
84.94,10.2,33.44,22.2
94.21,4.95,29.97,21.4
116.51,5.07,28.97,24.7
75.73,5.36,29.57,19.9
95.71,1.28,25.42,23.5
112.66,5.85,29.52,22.6
91.33,1.79,31.39,21.7
93.21,4.14,32.9,24.1
99.05,7.49,32.9,22.9
114.91,3.53,28.63,20.2
93.61,6.0,22.92,22.8
95.56,7.03,26.65,24.2
95.66,5.56,38.06,21.5
122.06,2.26,34.48,22.1
121.87,4.34,31.85,21.0
110.04,8.92,26.19,21.5
103.86,0.95,30.02,23.7
107.37,4.45,23.72,20.3
114.91,3.9,27.24,19.5
90.64,5.24,28.77,20.8
111.76,6.5,28.19,19.1
87.46,8.22,34.78,22.3
93.62,4.46,22.91,20.8
109.07,6.62,25.67,18.3
85.71,6.0,23.13,20.6
98.6,5.95,23.81,21.2
91.38,3.87,30.62,22.6
97.44,3.01,22.0,21.6
72.01,2.8,33.77,25.2
82.28,3.49,28.77,20.5
93.0,5.64,30.34,21.5
109.27,6.52,31.61,21.6
98.26,5.65,27.83,21.1
100.03,3.9,35.16,22.2
106.88,8.61,29.03,22.6
91.2,8.04,32.97,24.0
102.84,4.29,29.0,18.8
91.95,3.35,31.45,20.8
82.72,5.26,31.4,20.5
96.09,7.53,31.25,23.4
105.74,5.67,25.13,21.1
103.39,6.11,32.18,18.0
99.88,4.58,28.41,22.0
123.92,5.91,33.15,22.2
104.13,8.09,19.24,21.8
109.79,4.52,22.67,19.9
122.38,5.29,31.82,25.7
87.06,5.51,39.31,20.9
89.61,5.57,34.18,21.2
117.44,2.18,26.59,20.6
92.02,1.25,21.54,20.1
100.3,2.96,33.71,19.6
110.69,5.34,29.6,21.2
108.91,6.11,32.95,20.0
117.55,3.94,30.58,26.4
114.96,7.75,30.15,18.0
110.69,4.71,44.79,19.9
92.27,5.04,29.97,20.8
107.95,4.61,29.2,23.3
103.14,5.27,29.39,21.0
86.74,6.41,27.08,22.7
114.17,6.33,34.95,20.0
108.07,3.2,28.23,22.2
100.45,8.05,33.18,25.0
97.67,2.81,31.42,20.1
88.02,5.16,36.09,22.4
102.0,4.45,32.1,22.3
104.68,2.9,23.93,17.5
91.69,4.85,23.37,20.4
111.62,3.52,37.04,24.5
89.03,5.15,26.96,21.8
78.77,5.81,23.4,18.8
110.4,7.94,26.65,23.1
95.97,5.61,36.32,20.8
98.74,3.78,22.9,22.5
91.62,4.22,25.67,22.4
83.94,5.28,26.67,19.2
112.55,5.19,23.74,23.5
93.11,7.92,24.08,19.3
116.61,7.79,22.41,19.2
108.07,4.28,27.69,20.2
96.85,3.9,28.23,21.1
89.14,-0.11,26.59,22.3
92.68,3.9,21.73,20.1
87.87,3.04,36.27,23.3
120.87,4.29,23.35,22.7
101.64,5.78,31.39,20.4
111.5,5.35,24.63,23.7
87.33,4.94,33.34,23.9
101.81,5.4,34.78,21.6
111.78,4.75,25.61,21.6
96.65,5.39,20.38,18.0
110.31,-1.46,33.48,21.9
89.15,4.46,39.38,21.1
86.37,4.78,32.08,22.1
103.79,4.32,30.8,21.6
96.21,4.56,34.1,22.3
