branch,city,customer_type,gender,product_line,total,payment_method,rating,time_of_day,day_name
A,Yangon,Member,Female,Health and beauty,823457.25,Ewallet,9.1,afternoon,Saturday
C,Naypyitaw,Normal,Female,Electronic accessories,120330.0,Cash,9.6,morning,Friday
A,Yangon,Normal,Male,Home and lifestyle,510788.25000000006,Credit card,7.4,afternoon,Sunday
A,Yangon,Member,Male,Health and beauty,733572.0,Ewallet,8.4,evening,Sunday
A,Yangon,Normal,Male,Sports and travel,951567.75,Ewallet,5.3,morning,Friday
C,Naypyitaw,Normal,Male,Electronic accessories,941424.75,Ewallet,4.1,evening,Monday
A,Yangon,Member,Female,Electronic accessories,650538.0,Ewallet,5.8,afternoon,Monday
C,Naypyitaw,Normal,Female,Home and lifestyle,1158570.0,Ewallet,8.0,morning,Sunday
A,Yangon,Member,Female,Health and beauty,114219.0,Credit card,7.2,evening,Thursday
B,Mandalay,Member,Female,Food and beverages,259119.0,Credit card,5.9,afternoon,Wednesday
B,Mandalay,Member,Female,Fashion accessories,91224.0,Ewallet,4.5,evening,Wednesday
B,Mandalay,Member,Male,Electronic accessories,160713.0,Cash,6.8,evening,Saturday
A,Yangon,Normal,Female,Electronic accessories,369731.25,Ewallet,7.1,morning,Tuesday
A,Yangon,Normal,Male,Food and beverages,680242.5,Ewallet,8.2,evening,Thursday
A,Yangon,Normal,Female,Health and beauty,1124235.0,Cash,5.7,evening,Friday
B,Mandalay,Member,Female,Sports and travel,885654.0,Cash,4.5,evening,Tuesday
A,Yangon,Member,Female,Health and beauty,759953.25,Credit card,4.6,morning,Monday
A,Yangon,Normal,Male,Sports and travel,686164.5,Credit card,6.9,morning,Tuesday
A,Yangon,Normal,Male,Food and beverages,258315.75,Credit card,8.6,evening,Monday
B,Mandalay,Normal,Female,Home and lifestyle,126945.0,Ewallet,4.4,afternoon,Monday
C,Naypyitaw,Member,Male,Electronic accessories,677565.0,Ewallet,4.8,morning,Monday
B,Mandalay,Normal,Male,Health and beauty,415705.5,Ewallet,5.1,morning,Tuesday
B,Mandalay,Normal,Male,Home and lifestyle,104580.0,Credit card,4.4,afternoon,Friday
A,Yangon,Normal,Male,Electronic accessories,272160.0,Ewallet,9.9,morning,Sunday
A,Yangon,Member,Male,Sports and travel,418776.75,Ewallet,6.0,evening,Saturday
A,Yangon,Member,Female,Home and lifestyle,662634.0,Credit card,8.5,evening,Friday
B,Mandalay,Normal,Male,Fashion accessories,52794.0,Cash,6.7,afternoon,Friday
A,Yangon,Normal,Female,Fashion accessories,276160.5,Credit card,7.7,afternoon,Sunday
B,Mandalay,Normal,Female,Food and beverages,695835.0,Cash,9.6,evening,Friday
A,Yangon,Normal,Male,Health and beauty,352815.75,Cash,7.4,afternoon,Friday
B,Mandalay,Normal,Male,Fashion accessories,741273.75,Credit card,4.8,evening,Monday
B,Mandalay,Member,Male,Sports and travel,1106642.25,Cash,4.5,afternoon,Monday
B,Mandalay,Normal,Male,Sports and travel,1055628.0,Cash,5.1,afternoon,Thursday
A,Yangon,Normal,Male,Health and beauty,304227.0,Credit card,5.1,morning,Friday
C,Naypyitaw,Member,Female,Food and beverages,626346.0,Ewallet,7.5,morning,Wednesday
C,Naypyitaw,Member,Female,Sports and travel,107289.0,Ewallet,6.8,afternoon,Monday
A,Yangon,Member,Male,Sports and travel,493132.5,Ewallet,7.0,evening,Sunday
A,Yangon,Normal,Female,Electronic accessories,862974.0,Ewallet,4.7,evening,Tuesday
C,Naypyitaw,Normal,Female,Health and beauty,691992.0,Ewallet,7.6,afternoon,Saturday
B,Mandalay,Member,Male,Home and lifestyle,379512.0,Cash,7.7,afternoon,Sunday
B,Mandalay,Member,Female,Home and lifestyle,136584.0,Ewallet,7.9,evening,Thursday
C,Naypyitaw,Member,Male,Home and lifestyle,176746.5,Cash,6.3,morning,Saturday
B,Mandalay,Member,Female,Sports and travel,653184.0,Cash,5.6,afternoon,Friday
C,Naypyitaw,Member,Female,Food and beverages,1243620.0,Cash,7.6,evening,Monday
C,Naypyitaw,Member,Male,Health and beauty,48415.5,Cash,7.2,evening,Saturday
B,Mandalay,Member,Female,Electronic accessories,591948.0,Cash,9.5,evening,Saturday
B,Mandalay,Member,Male,Health and beauty,803580.75,Credit card,8.4,evening,Wednesday
B,Mandalay,Member,Female,Food and beverages,283641.75,Ewallet,4.1,afternoon,Wednesday
B,Mandalay,Member,Male,Electronic accessories,178888.5,Credit card,8.1,afternoon,Sunday
C,Naypyitaw,Member,Female,Fashion accessories,1301422.5,Ewallet,7.9,evening,Tuesday
C,Naypyitaw,Member,Male,Food and beverages,1007685.0,Cash,9.5,morning,Sunday
A,Yangon,Member,Female,Food and beverages,351146.25,Cash,8.5,afternoon,Sunday
B,Mandalay,Member,Female,Fashion accessories,112581.0,Ewallet,6.5,afternoon,Friday
C,Naypyitaw,Member,Male,Fashion accessories,24302.25,Credit card,6.1,afternoon,Friday
B,Mandalay,Normal,Male,Home and lifestyle,50904.0,Ewallet,6.5,morning,Thursday
C,Naypyitaw,Normal,Female,Electronic accessories,1083348.0,Cash,8.2,evening,Thursday
A,Yangon,Member,Male,Home and lifestyle,139671.0,Cash,5.8,morning,Wednesday
A,Yangon,Normal,Male,Health and beauty,1128960.0,Ewallet,6.6,morning,Thursday
A,Yangon,Member,Female,Home and lifestyle,1139512.5,Cash,5.4,afternoon,Sunday
C,Naypyitaw,Normal,Male,Electronic accessories,289264.5,Cash,9.3,evening,Tuesday
C,Naypyitaw,Member,Female,Sports and travel,116896.5,Credit card,10.0,evening,Friday
C,Naypyitaw,Normal,Male,Home and lifestyle,526648.5,Ewallet,7.0,morning,Sunday
B,Mandalay,Member,Female,Sports and travel,780617.2500000001,Ewallet,10.0,afternoon,Sunday
A,Yangon,Member,Male,Sports and travel,249007.5,Credit card,8.6,afternoon,Wednesday
B,Mandalay,Member,Male,Health and beauty,477162.0,Cash,7.6,afternoon,Thursday
A,Yangon,Member,Male,Health and beauty,249952.5,Cash,5.8,evening,Wednesday
C,Naypyitaw,Normal,Female,Health and beauty,105430.50000000001,Ewallet,6.7,afternoon,Sunday
B,Mandalay,Member,Female,Fashion accessories,922414.5,Ewallet,9.9,afternoon,Monday
A,Yangon,Normal,Male,Sports and travel,1240627.5,Cash,6.4,morning,Thursday
A,Yangon,Member,Female,Health and beauty,28869.75,Cash,4.3,evening,Saturday
C,Naypyitaw,Normal,Male,Food and beverages,1409310.0,Credit card,9.6,afternoon,Sunday
C,Naypyitaw,Normal,Male,Fashion accessories,978390.0,Cash,5.9,evening,Monday
B,Mandalay,Member,Female,Food and beverages,229257.0,Ewallet,4.0,evening,Tuesday
C,Naypyitaw,Normal,Female,Electronic accessories,717349.5,Cash,8.7,evening,Saturday
A,Yangon,Normal,Male,Home and lifestyle,1058447.25,Ewallet,9.4,morning,Tuesday
C,Naypyitaw,Normal,Female,Electronic accessories,655987.5,Credit card,5.4,evening,Sunday
C,Naypyitaw,Member,Male,Fashion accessories,695142.0,Credit card,8.6,afternoon,Wednesday
A,Yangon,Member,Female,Fashion accessories,283641.75,Credit card,5.7,afternoon,Saturday
C,Naypyitaw,Member,Female,Food and beverages,1233382.5,Ewallet,6.6,evening,Tuesday
C,Naypyitaw,Normal,Female,Health and beauty,160492.5,Cash,6.0,evening,Tuesday
C,Naypyitaw,Normal,Female,Health and beauty,937345.5000000001,Credit card,5.5,afternoon,Monday
B,Mandalay,Normal,Female,Food and beverages,456812.99999999994,Ewallet,6.4,evening,Saturday
C,Naypyitaw,Normal,Male,Food and beverages,242549.99999999997,Ewallet,6.6,evening,Wednesday
C,Naypyitaw,Member,Female,Food and beverages,506268.0,Credit card,8.3,evening,Saturday
C,Naypyitaw,Member,Male,Sports and travel,385166.24999999994,Cash,6.6,morning,Saturday
C,Naypyitaw,Normal,Female,Sports and travel,915736.5,Ewallet,4.0,afternoon,Tuesday
C,Naypyitaw,Normal,Male,Fashion accessories,602595.0,Cash,9.9,morning,Monday
A,Yangon,Member,Male,Food and beverages,544414.5,Credit card,7.3,evening,Wednesday
A,Yangon,Normal,Male,Sports and travel,66890.25,Cash,5.7,evening,Wednesday
B,Mandalay,Normal,Female,Health and beauty,727555.5,Cash,6.1,evening,Wednesday
C,Naypyitaw,Member,Female,Home and lifestyle,298494.0,Cash,7.1,morning,Wednesday
C,Naypyitaw,Normal,Female,Sports and travel,706545.0,Ewallet,8.2,evening,Saturday
A,Yangon,Member,Female,Sports and travel,242329.5,Ewallet,5.1,evening,Thursday
