id_assessment,student_id,study_period_days,score
103,0,22,87.0
93,1,70,92.0
15,2,22,2.0
107,3,22,51.0
72,4,22,73.0
21,5,35,59.0
122,7,22,64.0
75,8,35,51.0
88,9,35,89.0
117,10,22,75.0
100,11,35,13.0
104,12,70,88.0
131,13,70,71.0
53,14,35,67.0
2,15,35,27.0
88,16,22,70.0
38,17,35,9.0
21,19,70,99.0
58,20,35,65.0
22,21,22,89.0
89,22,22,49.0
49,23,70,13.0
59,24,35,15.0
15,25,70,53.0
51,26,22,42.0
108,27,22,41.0
55,28,35,80.0
64,29,22,21.0
131,30,35,67.0
51,31,70,18.0
73,33,35,38.0
18,34,22,72.0
132,35,22,18.0
89,36,35,15.0
60,37,22,53.0
14,38,22,24.0
9,39,22,17.0
90,40,35,22.0
53,41,22,84.0
130,42,35,10.0
84,43,22,38.0
92,44,70,67.0
111,45,22,24.0
8,46,22,62.0
81,48,35,29.0
50,49,22,44.0
104,50,70,89.0
132,51,22,60.0
2,52,22,99.0
54,53,70,50.0
106,54,35,97.0
4,55,22,8.0
54,56,35,75.0
44,57,35,1.0
14,58,70,4.0
95,59,70,61.0
15,61,22,51.0
40,62,35,85.0
82,63,22,4.0
111,64,22,58.0
53,65,70,67.0
24,66,22,8.0
124,67,22,92.0
41,68,35,21.0
15,69,70,26.0
45,70,22,9.0
65,71,22,79.0
89,72,70,60.0
71,73,35,50.0
9,74,70,9.0
88,75,70,5.0
129,76,22,61.0
63,77,22,4.0
81,78,35,69.0
33,79,22,62.0
123,80,22,55.0
5,81,70,58.0
41,82,22,62.0
28,83,35,88.0
72,84,70,58.0
12,85,35,50.0
33,86,70,49.0
62,88,70,47.0
37,89,70,31.0
99,90,22,50.0
104,91,22,51.0
35,92,35,98.0
101,93,35,73.0
131,94,22,33.0
1,95,22,35.0
5,96,22,69.0
103,97,70,42.0
27,98,70,15.0
90,100,22,52.0
42,101,35,18.0
124,102,22,97.0
63,103,70,88.0
96,104,70,94.0
52,105,22,40.0
96,106,22,80.0
132,107,70,46.0
29,108,70,93.0
36,109,70,53.0
13,110,22,54.0
71,111,70,94.0
86,112,70,18.0
28,113,35,61.0
45,115,35,92.0
62,116,35,58.0
28,117,70,64.0
28,118,22,67.0
108,119,70,27.0
44,120,22,17.0
84,121,35,25.0
30,122,22,18.0
75,123,70,54.0
128,124,70,56.0
129,126,22,
121,127,35,7.0
27,128,35,96.0
121,129,22,50.0
116,130,70,84.0
3,131,35,87.0
103,132,70,24.0
62,133,22,46.0
51,134,70,54.0
59,135,35,63.0
118,136,35,82.0
96,137,70,92.0
62,139,70,55.0
52,140,22,11.0
12,141,70,32.0
39,142,35,70.0
130,143,22,16.0
131,144,22,60.0
101,146,35,30.0
113,147,70,59.0
81,148,35,69.0
113,149,22,16.0
2,150,70,49.0
130,151,35,36.0
54,152,22,81.0
87,153,22,61.0
129,154,35,89.0
126,155,35,79.0
130,156,35,71.0
53,157,22,87.0
68,158,35,76.0
123,159,22,28.0
38,160,35,31.0
24,161,22,87.0
69,162,22,79.0
116,163,70,10.0
98,164,35,95.0
97,165,35,5.0
124,166,22,34.0
70,167,22,32.0
93,168,22,17.0
3,169,70,36.0
90,170,70,12.0
96,171,22,73.0
52,172,35,100.0
128,173,35,89.0
39,174,70,80.0
82,175,70,63.0
104,176,22,
129,177,35,62.0
11,178,22,88.0
42,179,70,33.0
90,182,70,6.0
112,183,22,55.0
60,184,22,79.0
113,185,35,36.0
2,186,70,28.0
48,188,70,16.0
37,189,22,47.0
9,190,70,83.0
99,191,22,25.0
48,192,70,82.0
131,193,35,11.0
54,194,22,20.0
120,195,35,41.0
116,196,35,60.0
75,197,22,57.0
113,198,22,53.0
104,199,35,33.0
84,200,35,6.0
112,201,35,34.0
99,202,35,14.0
93,203,22,64.0
128,204,22,89.0
82,206,70,24.0
54,207,70,58.0
68,208,22,78.0
33,209,35,85.0
21,210,35,5.0
48,211,22,51.0
128,212,70,78.0
128,213,70,87.0
33,214,70,20.0
115,215,22,70.0
119,216,70,92.0
22,217,22,95.0
38,218,22,31.0
109,219,35,52.0
51,220,70,58.0
8,221,22,68.0
27,222,70,61.0
27,223,70,3.0
21,224,35,85.0
30,225,70,17.0
97,226,35,98.0
28,227,22,80.0
111,228,70,55.0
61,229,22,23.0
48,230,70,65.0
4,231,22,12.0
35,232,70,61.0
49,233,70,53.0
17,234,70,14.0
46,235,70,68.0
117,236,70,2.0
6,237,70,36.0
99,238,70,36.0
124,239,70,100.0
37,240,70,2.0
24,241,22,62.0
93,242,35,34.0
46,243,70,51.0
95,244,35,86.0
99,245,70,27.0
116,246,70,93.0
67,247,22,17.0
128,248,22,35.0
18,249,35,32.0
25,250,22,63.0
54,251,22,25.0
58,252,35,47.0
67,253,22,39.0
24,255,35,39.0
32,257,70,56.0
86,258,22,7.0
127,259,35,55.0
130,260,35,30.0
17,261,70,58.0
104,262,70,57.0
43,263,22,11.0
39,264,35,47.0
26,265,22,30.0
99,266,22,82.0
60,269,35,38.0
57,270,35,75.0
36,271,70,19.0
20,272,70,100.0
65,273,70,47.0
8,274,70,70.0
115,275,70,53.0
98,277,22,74.0
66,278,35,70.0
32,279,22,28.0
86,280,70,73.0
51,281,22,92.0
63,282,35,72.0
125,283,35,99.0
58,284,22,47.0
58,285,70,73.0
86,286,70,82.0
