ERP,Feature1,Feature2,Feature3,CPU
30.6,235.1,44.5,44.0,112.3
40.3,36.6,46.4,36.1,58.6
57.7,52.2,66.5,2.0,55.3
128.3,196.2,59.8,57.4,103.2
80.3,75.2,59.6,58.2,104.1
49.8,183.5,25.7,7.0,113.8
-14.6,97.1,49.6,4.3,122.6
113.3,57.4,38.9,66.7,147.6
-27.1,199.9,54.2,-24.0,101.7
56.5,186.7,48.5,28.1,82.4
107.5,201.9,63.7,22.4,129.5
90.8,177.1,54.8,72.0,77.2
-0.6,69.6,61.8,-4.9,94.0
50.7,203.7,43.0,37.4,57.9
-7.2,94.7,35.8,5.6,52.6
10.1,149.2,43.8,25.4,146.3
76.0,180.1,49.7,31.5,133.6
12.2,87.7,55.7,9.2,119.6
34.7,138.8,83.9,25.7,91.0
-4.5,131.8,49.4,10.8,67.4
100.2,68.9,35.7,67.4,65.7
67.7,54.8,44.8,26.7,75.1
74.2,133.1,43.0,27.1,105.0
130.2,155.5,57.2,85.5,121.5
-24.3,108.6,26.9,-42.7,116.1
82.2,63.0,50.9,64.7,78.1
98.1,77.9,52.3,44.5,145.5
38.5,194.3,53.5,19.2,123.8
119.3,166.3,41.0,49.4,105.5
7.2,151.0,46.4,2.9,111.2
99.2,62.3,28.6,68.7,92.0
72.9,136.1,42.6,48.0,74.8
34.8,46.5,41.9,24.8,85.7
50.5,62.1,56.2,26.6,125.8
100.9,59.3,32.7,28.8,51.5
16.6,139.0,61.7,-4.4,61.7
60.0,155.2,72.4,24.9,54.7
48.8,113.0,19.0,31.3,54.2
87.9,113.2,56.4,45.0,135.6
16.8,36.0,60.2,23.2,120.4
13.1,-0.0,40.4,13.7,97.5
86.5,94.9,44.0,44.1,59.9
84.2,74.7,48.0,76.2,99.2
82.6,172.7,45.5,47.4,97.4
87.4,216.1,45.4,37.2,67.4
-3.5,141.3,24.9,26.1,93.4
133.5,26.6,67.3,84.8,89.9
127.8,174.8,66.2,91.1,111.6
43.9,-2.0,37.8,20.3,113.5
129.9,71.3,28.0,79.6,54.6
73.2,78.5,57.8,14.8,87.5
127.2,198.5,41.4,75.4,112.6
137.5,50.3,52.1,66.4,100.4
111.3,32.6,45.2,35.3,135.7
95.3,94.2,60.4,63.1,115.9
-13.5,73.4,60.4,-33.9,66.4
4.7,161.0,39.1,-26.3,57.1
45.1,48.8,29.2,28.0,114.3
121.1,26.5,26.3,69.1,52.7
41.5,69.5,59.2,35.3,108.6
35.7,60.2,32.2,29.0,144.0
106.6,195.1,42.4,75.4,107.6
82.6,134.1,41.1,51.8,88.9
103.7,70.1,49.2,49.9,114.4
73.6,38.6,21.0,35.7,95.9
91.8,136.7,52.8,41.7,104.6
35.7,14.4,57.9,22.3,144.2
-12.3,27.4,51.3,-22.6,88.7
93.2,144.8,45.3,51.7,146.1
25.2,117.8,51.5,11.3,140.5
19.1,163.4,56.0,13.7,69.7
16.7,119.5,8.4,12.5,57.0
5.9,168.2,79.3,-33.8,60.2
92.0,40.8,55.9,32.5,51.9
58.5,53.2,40.2,27.6,59.5
98.8,122.4,44.1,48.6,118.3
97.9,40.0,57.4,52.8,57.2
67.8,51.9,48.3,38.4,82.0
11.6,69.6,19.5,28.5,134.5
123.2,102.0,81.0,66.3,52.4
51.1,57.9,48.3,20.9,131.5
38.8,45.1,65.3,-4.6,78.3
48.4,75.2,39.6,3.7,61.9
118.8,-48.6,73.0,67.4,119.7
-1.9,162.9,54.3,15.0,112.9
46.5,53.0,59.1,46.4,137.8
92.8,65.0,34.3,34.0,123.5
29.2,99.2,68.2,10.0,130.4
93.9,39.4,60.3,50.6,78.3
29.8,202.9,69.5,45.6,67.8
15.3,23.4,40.6,9.4,125.1
38.9,138.6,42.8,42.7,130.7
72.1,102.1,84.6,38.6,149.1
54.5,57.6,34.1,44.5,91.3
131.9,134.9,48.0,81.3,87.3
51.9,105.0,67.1,28.4,127.7
139.1,141.1,51.5,54.2,84.1
35.0,179.4,58.7,13.5,143.1
24.7,217.2,44.0,34.7,135.9
34.9,178.9,55.6,30.6,93.0
211.7,171.5,57.3,99.3,125.1
128.7,206.7,-47.8,59.2,125.5
206.2,196.7,-36.0,77.1,60.4
225.6,223.5,223.7,134.5,140.3
158.6,19.0,43.7,92.6,100.6
197.6,21.5,-10.5,96.7,132.7
159.7,-18.8,118.4,82.9,82.1
241.0,-37.2,-34.9,87.9,139.6
137.2,97.0,238.0,61.3,89.0
120.3,-6.4,72.3,80.2,51.2
207.9,178.6,32.4,118.7,140.5
150.7,215.0,8.3,80.3,59.2
186.3,68.0,-7.2,92.9,82.0
141.0,73.0,158.5,82.4,145.0
155.8,35.9,249.6,73.7,145.1
