Churn,AccountWeeks,ContractRenewal,DataPlan,DataUsage,CustServCalls,DayMins,DayCalls,MonthlyCharge,OverageFee,RoamMins
0,51,1,0,1.0,0,303.7,83,72.5,9.3,3.8
1,61,1,0,-0.2,2,194.8,89,66.3,10.9,13.3
0,84,1,1,-1.3,2,157.6,109,35.7,10.0,12.5
0,65,1,0,1.0,1,223.1,129,64.2,9.1,5.1
0,154,1,0,1.0,0,137.0,115,40.0,7.7,4.6
0,72,1,1,1.5,2,65.2,125,63.0,11.1,12.6
0,116,1,0,0.1,2,199.1,94,74.9,8.8,12.4
1,124,1,0,-0.9,1,140.0,87,62.3,10.9,12.0
0,150,1,1,-0.4,-1,185.3,61,80.4,5.2,6.3
0,128,1,1,2.2,1,197.7,101,53.8,10.9,15.3
0,94,1,0,-0.0,1,187.5,108,52.7,11.9,8.1
1,169,1,1,0.3,0,86.7,94,57.4,11.6,10.9
0,51,1,0,0.4,2,181.2,84,34.3,9.6,10.9
0,63,1,1,0.0,2,204.0,125,49.7,12.4,14.7
0,109,1,0,-0.1,2,103.5,113,51.1,6.8,10.6
0,104,1,1,-0.3,2,97.0,126,51.6,9.8,11.4
0,133,1,0,2.6,0,121.5,81,60.7,9.6,10.0
0,107,1,0,1.7,0,220.4,86,32.0,12.7,6.9
0,115,1,0,2.4,1,70.9,124,37.5,4.9,3.8
0,140,1,0,2.7,0,225.0,99,74.9,7.4,10.3
0,106,0,0,-2.2,2,201.1,89,23.3,14.5,6.3
0,128,1,0,1.3,0,165.7,90,66.4,3.9,11.2
0,70,1,0,0.1,3,99.1,100,50.2,12.1,10.7
0,73,1,1,2.2,0,136.4,120,58.9,8.3,10.6
1,136,0,0,-0.1,4,222.4,97,81.9,10.7,7.3
0,105,1,0,-0.5,4,248.2,116,54.2,13.6,13.1
0,107,1,0,-1.0,1,123.6,109,66.6,10.8,11.6
0,73,1,0,0.4,3,242.0,82,57.3,13.7,6.9
0,84,1,0,2.0,1,217.1,82,54.5,8.8,16.0
0,112,1,0,1.1,2,179.4,91,52.5,9.1,9.6
0,89,1,1,-0.7,1,139.6,73,67.8,12.0,6.5
0,66,1,0,3.6,0,148.1,90,44.3,8.9,8.1
0,67,1,0,1.6,-3,279.1,130,37.7,11.6,6.0
0,75,1,0,1.8,1,189.5,99,57.5,13.1,14.0
0,87,1,0,2.5,1,252.2,85,59.5,12.3,13.3
0,90,1,1,-1.3,3,192.9,138,26.3,6.0,12.3
0,163,1,0,-0.3,1,155.1,81,56.1,9.2,11.8
0,137,1,0,1.9,2,211.6,81,36.2,10.8,13.7
0,112,0,0,-0.2,0,297.3,125,66.6,9.4,9.6
0,175,1,0,0.5,1,144.7,113,26.7,10.3,11.4
0,96,1,1,0.7,2,229.6,97,87.9,10.8,8.0
0,119,1,0,-0.8,-1,190.2,117,50.7,8.7,9.8
0,114,1,0,0.4,1,100.8,106,42.1,9.6,11.5
0,119,1,0,2.0,1,99.6,76,51.7,7.1,1.6
0,71,1,0,1.7,3,155.2,52,65.4,8.8,8.5
0,88,1,0,2.2,0,198.7,89,70.9,6.2,10.7
0,68,1,1,2.1,2,227.6,122,51.8,10.3,10.0
1,117,1,0,1.3,2,94.2,91,32.7,9.6,9.0
0,101,1,0,1.2,0,215.3,109,36.4,7.7,11.9
0,26,1,0,1.1,1,173.3,104,61.0,14.6,8.3
0,121,1,0,0.0,0,180.0,66,72.5,9.4,6.8
0,109,1,0,-0.5,2,211.8,92,74.7,10.8,13.5
0,168,1,1,-0.1,2,274.9,107,59.1,8.4,13.1
0,137,1,1,0.4,1,196.3,84,72.2,9.0,8.6
0,145,0,0,-0.0,0,105.9,93,87.7,10.9,10.0
0,56,1,1,1.3,2,169.6,108,75.9,9.2,12.6
0,145,1,1,1.1,1,226.2,101,71.5,10.1,10.4
0,93,1,0,1.2,0,228.0,121,43.1,12.1,11.7
1,73,1,1,1.3,0,216.0,108,72.1,8.7,11.6
1,7,1,0,2.3,2,152.0,81,63.9,6.7,9.3
0,153,1,1,0.8,0,105.3,90,67.0,6.2,11.7
0,89,1,0,2.1,4,211.9,100,77.0,13.7,7.5
0,96,1,1,1.5,0,113.6,127,62.2,12.4,11.3
0,113,1,0,2.3,1,217.5,90,54.6,11.7,10.0
0,175,1,0,2.9,1,217.5,65,38.7,8.9,9.2
0,92,1,1,1.6,0,154.3,109,51.4,6.7,6.8
0,100,1,0,0.9,-1,173.6,85,59.8,9.3,10.6
0,139,1,0,0.9,1,190.6,74,60.9,9.8,10.3
0,89,1,0,0.2,0,146.3,100,60.3,7.2,7.9
0,67,1,0,0.2,1,104.5,119,72.1,6.3,5.8
0,13,0,0,2.0,1,177.6,88,70.5,5.7,5.6
0,154,1,0,-0.4,1,183.3,110,55.3,11.7,9.5
0,110,1,0,2.9,3,253.9,114,42.4,7.0,11.1
0,122,1,0,0.6,0,137.2,116,62.6,10.8,15.4
0,81,1,1,4.5,0,238.0,85,93.2,9.0,10.1
0,128,1,1,-0.1,0,117.3,77,61.6,11.5,5.7
0,77,0,1,1.1,1,106.5,80,51.4,10.9,9.7
0,107,1,0,0.4,2,163.4,116,65.1,9.5,13.7
1,105,0,0,-0.2,0,128.5,113,66.1,10.4,8.3
0,146,1,1,2.2,2,105.8,81,65.9,9.8,13.4
0,126,1,0,-0.6,1,285.7,143,78.9,8.5,10.7
0,76,0,0,-0.0,0,155.2,78,62.6,12.5,12.0
1,125,1,0,1.6,1,305.7,120,78.1,9.0,15.4
0,86,0,0,1.8,1,125.6,130,60.1,9.8,5.1
0,68,1,0,-1.0,1,86.7,102,81.1,6.5,12.7
0,123,1,1,1.6,0,250.1,84,76.1,10.7,10.0
0,108,1,1,1.0,0,140.2,85,71.4,8.5,7.6
0,53,1,1,-0.4,1,187.3,95,69.3,8.8,10.0
0,80,1,1,-0.2,1,105.9,122,94.1,7.9,15.0
1,130,1,1,-1.8,3,177.7,76,74.0,9.7,14.0
0,116,1,1,3.0,2,105.1,63,42.4,5.0,4.7
1,118,1,0,2.1,2,175.7,107,60.3,11.8,8.1
0,174,1,0,-0.8,1,154.0,112,52.0,10.0,12.9
0,140,1,1,1.8,-1,192.3,139,90.2,8.9,10.2
0,96,1,1,0.1,0,213.9,72,76.9,6.1,10.2
0,84,1,0,2.0,0,192.9,97,89.7,11.1,5.9
0,73,1,1,0.2,1,204.3,123,43.8,8.4,8.2
0,82,1,1,0.4,1,173.8,102,74.4,13.4,6.4
1,37,1,0,0.4,2,156.1,96,33.9,11.3,5.6
0,52,1,0,-0.0,1,205.4,116,30.2,13.9,6.7
0,127,1,1,2.6,3,173.7,88,49.8,10.4,7.6
1,162,0,0,2.0,1,175.8,117,81.1,12.8,8.1
1,103,1,1,1.0,1,201.4,75,40.0,11.2,7.9
0,73,1,0,2.1,2,123.5,69,56.0,8.9,13.1
0,-34,1,0,-1.3,1,257.6,94,75.8,10.5,7.7
1,168,1,0,-0.7,3,166.2,48,70.2,7.9,14.2
0,47,1,0,1.4,2,186.5,102,92.7,15.3,8.9
0,42,1,0,1.8,0,177.4,65,56.4,9.8,11.5
0,89,1,0,1.2,1,215.3,106,49.1,10.1,11.6
0,99,1,1,-1.6,1,198.2,104,38.3,11.0,7.7
0,101,0,0,-0.5,4,177.1,99,50.3,7.3,9.3
0,67,1,0,1.3,1,258.7,109,38.2,13.4,8.8
0,117,1,1,3.9,0,5.3,104,26.8,7.5,11.3
0,80,1,0,2.4,2,247.5,94,88.6,6.9,9.9
1,81,1,1,2.8,2,229.9,137,57.1,9.6,8.1
1,89,1,1,1.2,1,79.8,108,98.9,6.8,10.6
0,74,1,1,1.2,1,230.4,115,42.5,14.0,11.2
0,51,1,1,-0.5,2,237.4,121,49.3,9.5,15.4
0,53,1,0,2.0,0,210.4,113,43.6,1.9,10.4
0,57,1,1,0.7,1,94.9,141,45.8,10.6,10.3
0,119,1,0,1.7,0,217.0,103,70.7,11.5,11.4
0,116,1,0,0.9,3,234.6,100,65.6,9.0,7.6
0,90,1,0,1.2,1,148.6,87,70.7,6.6,5.4
0,92,1,1,0.7,0,203.8,95,78.4,9.8,9.4
