customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,TotalCharges
CUST0454,Male,0,No,No,7,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,163.45
CUST1145,Female,1,No,Yes,53,No,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,No,Credit card,4140.89
CUST1138,Female,1,No,Yes,68,No,No phone service,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Mailed check,5152.36
CUST2645,Male,1,No,Yes,44,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card,5251.84
CUST2632,Male,0,Yes,No,7,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,No,Electronic check,725.69
CUST3722,Female,1,Yes,Yes,42,No,No phone service,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,932.4
CUST0995,Male,0,Yes,No,60,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,2364.6
CUST2119,Female,0,Yes,No,45,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card,3426.75
CUST1997,Male,1,No,No,56,No,No phone service,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,1643.04
CUST3111,Male,0,Yes,Yes,48,No,No phone service,Fiber optic,No,No,No,No,Yes,No,Two year,No,Electronic check,3230.88
CUST4646,Female,0,Yes,No,31,No,No phone service,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Mailed check,1212.72
CUST1067,Male,0,Yes,No,6,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,635.04
CUST0330,Male,0,Yes,No,63,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer,7453.53
CUST0181,Male,0,No,Yes,63,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card,4300.38
CUST3784,Female,1,Yes,No,15,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,532.5
CUST3619,Male,1,Yes,No,58,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Credit card,4720.04
CUST1917,Female,1,Yes,No,10,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,633.5
CUST0623,Female,1,No,No,15,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer,1328.4
CUST3505,Female,0,No,No,59,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,1961.16
CUST1294,Female,0,Yes,No,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer,1455.45
CUST2772,Female,0,Yes,Yes,4,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,95.32
CUST2215,Female,1,No,Yes,47,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,2396.53
CUST2365,Male,0,No,No,36,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,1860.84
CUST2689,Female,0,No,No,43,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,4295.27
CUST3374,Female,0,No,Yes,57,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Two year,No,Bank transfer,1267.11
CUST0731,Male,1,Yes,No,61,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,No,Two year,No,Credit card,5744.37
CUST5625,Male,0,No,No,48,Yes,No,DSL,Yes,No,No,Yes,Yes,No,One year,No,Electronic check,970.08
CUST4959,Female,1,Yes,No,35,No,No phone service,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Electronic check,2458.05
CUST1750,Female,0,Yes,Yes,13,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer,1163.24
CUST5434,Male,0,Yes,No,18,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,No,One year,Yes,Credit card,2120.04
CUST2918,Female,0,Yes,No,18,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,One year,No,Electronic check,1154.16
CUST0543,Female,0,Yes,Yes,40,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,1448.8
CUST2267,Female,0,Yes,No,30,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Credit card,1913.4
CUST3949,Male,1,Yes,No,52,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card,2538.64
CUST3309,Female,0,No,No,36,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer,3557.52
CUST0867,Female,0,Yes,Yes,53,No,No phone service,Fiber optic,No,Yes,No,Yes,No,Yes,One year,No,Electronic check,3900.27
CUST2386,Female,1,Yes,Yes,32,No,No phone service,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer,3560.0
CUST1909,Male,1,Yes,Yes,68,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer,5875.88
CUST4399,Male,1,Yes,Yes,68,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,1666.0
CUST1343,Male,1,Yes,Yes,52,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,2290.6
CUST5371,Male,1,Yes,No,10,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Two year,No,Electronic check,466.9
CUST4973,Female,0,Yes,Yes,68,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,One year,No,Electronic check,6202.96
CUST2733,Female,1,Yes,Yes,31,No,No phone service,DSL,Yes,Yes,No,No,No,No,Two year,No,Credit card,877.3
CUST2635,Female,1,Yes,No,7,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Two year,No,Bank transfer,155.96
CUST5450,Female,1,No,No,51,No,No phone service,Fiber optic,Yes,Yes,Yes,No,No,No,One year,No,Credit card,2438.31
CUST5027,Male,1,Yes,Yes,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card,64.07
CUST2459,Female,1,No,Yes,40,No,No phone service,Fiber optic,Yes,Yes,Yes,No,No,No,One year,No,Credit card,1963.6
CUST0743,Male,0,Yes,Yes,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer,1232.52
CUST4290,Male,1,No,No,22,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer,798.38
CUST4658,Male,1,No,Yes,49,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer,5316.5
