PIQ,Brain,Height,Weight
132,85.78,62.5,127
96,86.54,68.0,135
84,90.49,66.3,134
134,79.06,62.0,122
86,88.91,70.0,180
102,83.18,63.0,114
128,107.95,70.0,151
128,107.95,70.0,151
131,93.55,72.0,171
94,89.4,64.5,139
131,93.55,72.0,171
128,96.54,68.8,172
128,95.5,68.0,132
150,103.84,73.3,143
131,93.55,72.0,171
137,94.96,67.0,191
89,93.59,75.5,179
150,103.84,73.3,143
134,79.06,62.0,122
81,83.43,66.5,143
124,92.41,69.0,155
128,95.5,68.0,132
84,79.86,68.0,140
72,79.35,63.0,106
124,86.67,66.5,159
120,85.22,68.5,127
96,86.54,68.0,135
128,96.54,68.8,172
74,93.0,74.0,148
98,85.43,66.0,175
134,79.06,62.0,122
147,95.55,68.8,172
84,80.8,66.3,136
134,95.15,65.0,147
84,79.86,68.0,140
90,87.89,66.0,146
147,95.55,68.8,172
110,106.25,77.0,187
150,103.84,73.3,143
84,90.59,76.5,186
124,86.67,66.5,159
98,85.43,66.0,175
84,90.49,66.3,134
124,94.94,70.5,144
90,87.89,66.0,146
102,94.51,73.5,178
94,89.4,64.5,139
134,95.15,65.0,147
150,103.84,73.3,143
131,99.13,64.5,138
